x,y,z,s1,s2,s3,s4
-17076,-3572,-6516,54,81,82,58
-17108,-3772,-6832,53,81,82,57
-16988,-3736,-6840,53,80,82,57
-16900,-3876,-6836,53,80,82,58
-16848,-4004,-6872,52,81,82,56
-16768,-4128,-7004,52,80,82,58
-16668,-4152,-7192,52,80,81,56
-16776,-4292,-6920,51,79,81,55
-16904,-4424,-7080,50,79,81,56
-17084,-4584,-7176,49,79,81,55
-17228,-4736,-7144,49,78,81,54
-17316,-4952,-7364,49,78,80,54
-17504,-5256,-7536,48,78,80,53
-17616,-5492,-7616,47,78,80,53
-17712,-5648,-7848,47,77,80,52
-18100,-5844,-8052,46,77,80,51
-18240,-6012,-8048,46,77,78,50
-18488,-5988,-8184,45,77,79,51
-18740,-5956,-8252,45,77,79,48
-18896,-5884,-8364,44,77,78,49
-18876,-5764,-8364,43,77,78,47
-18864,-5540,-8308,42,76,77,47
-18728,-5424,-8124,42,75,77,47
-18412,-5604,-7828,40,74,76,47
-18188,-5548,-7832,40,73,76,45
-18036,-5856,-7504,39,73,76,44
-18056,-5904,-7352,39,72,75,46
-18064,-5948,-6996,37,71,74,46
-18172,-5840,-6748,36,69,74,46
-18224,-5852,-6400,34,69,73,45
-18416,-5668,-6328,32,69,73,44
-18592,-5556,-6128,29,69,72,43
-18768,-5564,-5860,27,68,71,44
-18768,-5456,-5604,25,67,70,45
-18372,-5452,-5500,23,66,70,47
-18248,-5472,-5080,20,65,69,48
-17844,-5480,-5076,19,65,69,47
-17368,-5500,-4572,16,64,69,48
-16716,-5152,-4388,14,64,67,49
-16448,-4972,-4108,12,63,67,46
-16128,-4924,-3756,10,63,66,47
-15996,-4848,-3400,8,63,66,48
-15720,-4812,-3236,7,63,66,48
-15484,-4628,-2528,5,64,65,48
-15840,-4456,-1584,6,63,65,48
-16264,-4404,-1024,5,64,64,48
-16968,-4064,136,4,63,63,48
-17572,-4020,596,3,64,64,48
-18256,-3864,1076,4,64,62,47
-18696,-3908,1064,4,64,62,49
-19004,-4096,1192,5,62,62,47
-19212,-3912,1344,4,64,62,48
-19396,-3896,1564,4,63,61,49
-19604,-3608,1784,4,63,61,48
-19768,-3716,2200,4,62,61,48
-19308,-3532,3368,4,64,62,47
-19996,-3832,3264,4,62,62,47
-19316,-4296,2600,5,62,60,48
-18460,-3668,3068,4,62,60,47
-16644,-2436,2924,4,62,60,48
-15032,-2468,3312,4,62,60,48
-14804,-2180,3680,4,62,59,47
-14692,-2324,4060,4,63,59,47
-15116,-1972,4668,4,62,59,47
-15372,-988,4916,4,64,59,47
-15584,-588,5228,4,63,59,47
-16072,404,5412,5,64,59,48
-16424,1188,5836,5,64,59,47
-16672,2020,5784,5,64,59,48
-16868,2676,5472,6,64,59,48
-16824,3396,5332,6,64,58,48
-16752,3972,4960,6,64,58,48
-16144,4264,4744,6,63,59,47
-15200,4424,4408,6,63,58,48
-14440,4536,4232,6,63,58,47
-13136,4676,4132,6,62,58,47
-12464,4612,4240,6,62,57,47
-11740,4640,4092,7,63,58,47
-11644,4716,3936,7,63,57,47
-11808,4792,4052,7,63,56,47
-11932,5028,4044,7,63,56,47
-12144,5196,4180,7,63,56,47
-12060,5280,4256,8,63,56,47
-11860,5524,4260,8,63,56,47
-11612,5756,4132,8,62,56,47
-11444,5984,4088,8,62,56,47
-11164,6080,3784,8,62,56,47
-10896,6164,3340,7,62,56,46
-10528,6176,3088,7,62,55,45
-10508,6160,2712,8,62,55,46
-10380,6140,2348,7,63,55,44
-10216,5896,1896,8,62,55,44
-10160,5636,1148,6,61,55,43
-10212,5304,1008,7,61,55,42
-10088,4980,660,7,62,54,42
-10024,4704,428,7,61,54,42
-9872,4620,116,7,62,54,40
-9804,4440,-56,8,61,54,40
-9784,4288,156,8,60,54,40
-9492,4248,364,8,61,52,40
-9100,4248,740,7,60,51,40
-8780,4624,596,8,61,51,39
-8380,4952,456,9,62,50,40
-7952,5608,-468,8,65,50,39
-7764,5752,-1100,8,67,50,38
-7312,5504,-1588,8,71,51,39
-6436,4580,-2704,8,72,50,38
-6000,4116,-3216,8,73,51,38
-4964,3264,-4164,7,73,51,40
-4416,2968,-5056,9,73,50,39
-3500,3128,-6948,8,73,51,40
-3176,3568,-8308,9,74,51,39
-2656,4628,-10008,10,74,50,38
-2484,4952,-11092,11,76,50,39
-3404,5592,-11788,10,76,49,39
-5104,6016,-12028,9,77,50,42
-6684,6260,-11620,10,78,50,43
-9280,6756,-10196,10,79,50,44
-12356,7152,-7860,11,80,50,46
-14620,7248,-5832,11,80,49,47
-18104,7080,-1800,11,81,48,47
-19744,6712,664,12,80,48,49
-22240,5328,3372,13,81,48,49
-24216,4044,4844,12,82,49,51
-26648,1924,6308,13,83,49,51
-28292,276,6840,13,83,49,53
-28960,-488,6816,13,83,51,53
-29908,-1340,5740,13,83,52,53
-30424,-2168,4228,13,83,49,54
-30556,-3468,1616,12,84,49,56
-29708,-4872,-1508,12,84,52,57
-28892,-6000,-3116,11,84,54,57
-27332,-7508,-5536,11,84,57,58
-24900,-8316,-7744,10,84,58,59
-23032,-8660,-8788,9,85,60,59
-19520,-9440,-8800,9,84,61,60
-16236,-10976,-6920,8,86,63,61
-14588,-12176,-5244,8,85,63,62
-12968,-13860,-2728,8,86,63,61
-12508,-15236,-1260,7,86,64,60
-13268,-15708,-112,6,85,64,62
-14760,-15740,408,6,86,65,63
-17056,-14972,676,8,87,66,63
-18704,-13880,772,8,87,66,63
-21120,-12008,508,8,87,67,64
-22152,-10612,204,10,87,67,64
-23164,-8720,372,15,87,68,63
-23440,-6436,344,18,87,69,65
-22996,-5140,364,21,88,69,65
-22068,-3308,140,23,89,69,66
-20984,-2120,-108,26,89,70,66
-19260,-88,-252,28,89,69,68
-18096,1016,-316,29,89,70,68
-16620,2712,-100,30,89,70,69
-15160,4340,328,32,89,72,68
-14396,5048,920,34,90,72,70
-13876,5628,1212,35,90,73,69
-13516,6024,1664,38,90,73,70
-13132,5652,1748,40,90,73,70
-13256,5116,1736,41,91,73,71
-13692,4408,1320,42,91,75,70
-14168,3900,984,43,91,74,71
-14936,3100,560,45,90,74,71
-15440,2656,396,46,92,75,71
-16224,2104,-260,47,91,76,72
-16792,1884,-556,48,91,76,73
-17176,1540,-1172,49,91,76,72
-17388,1340,-1400,50,92,77,73
-17320,884,-1572,51,92,77,74
-17492,676,-1584,52,92,77,75
-17220,536,-1600,53,92,77,74
-16960,336,-1520,54,93,78,74
-17084,168,-1488,54,92,78,75
-17224,-428,-1496,55,93,79,76
-17128,-576,-1836,55,93,79,76
-16840,-284,-2544,56,93,80,77
-16388,-240,-2932,57,94,80,77
-16188,-168,-3300,57,93,81,77
-15900,44,-3896,58,93,80,78
-15900,304,-3988,58,94,81,77
-15948,348,-4672,58,94,82,78
-16004,424,-4856,59,93,82,79
-16116,540,-4708,59,94,82,78
-16536,676,-4776,60,94,82,79
-16724,836,-4800,60,94,82,79
-17184,720,-4892,60,95,83,79
-17612,556,-5152,61,93,83,80
-18188,272,-5500,61,94,83,81
-18452,80,-5692,61,94,83,81
-18504,-148,-6124,62,94,84,81
-18496,-408,-6144,62,94,84,81
-18492,-496,-6092,62,94,84,82
-18604,-668,-6356,62,95,84,81
-18716,-872,-6304,62,93,84,81
-18756,-920,-5980,63,94,85,82
-18896,-1160,-5800,63,94,84,82
-18852,-1256,-5540,63,94,85,83
-18740,-1444,-5652,63,93,85,83
-18712,-1740,-5760,63,94,85,84
-18348,-2164,-6120,64,94,85,84
-18180,-2376,-6436,64,94,85,84
-17720,-2532,-6692,64,93,85,85
-17340,-2512,-6720,63,94,86,86
-17072,-2512,-6596,64,94,86,86
-16772,-2472,-6444,64,94,86,86
-16572,-2576,-6256,64,94,86,87
-16392,-2464,-6292,64,94,85,87
-16476,-2264,-6040,64,93,86,88
-16476,-2104,-5656,64,94,85,87
-16464,-1772,-5492,64,94,85,88
-16740,-1460,-5508,63,94,85,87
-16936,-1240,-5256,64,94,86,88
-17236,-1008,-5400,64,94,86,88
-17224,-540,-5228,63,94,86,89
-17336,-324,-5384,64,93,86,88
-17412,-156,-5300,63,93,86,89
-17172,-188,-5116,63,93,86,89
-17084,-100,-4944,63,93,86,89
-16936,-268,-4708,64,93,86,91
-16676,-420,-4780,63,93,86,90
-16748,-516,-4600,63,92,86,91
-16588,-640,-4388,63,92,86,90
-16716,-752,-4392,63,92,86,90
-16788,-852,-4312,63,92,86,91
-16780,-812,-4368,63,92,86,91
-16940,-680,-4556,64,92,86,91
-16936,-1272,-4444,64,92,87,91
-16844,-1440,-4588,64,91,86,91
-17028,-1560,-4648,64,91,86,91
-16796,-1376,-4344,64,92,87,91
-16940,-1308,-4056,64,91,87,91
-16728,-1148,-4096,64,91,87,91
-16744,-1324,-4032,64,91,87,92
-16868,-1352,-4180,64,90,87,92
-16692,-1588,-4268,64,91,87,92
-16560,-1540,-4292,64,90,87,91
