x,y,z,s1,s2,s3,s4
-17280,1412,-4432,89,76,95,90
-17092,1256,-4380,89,76,95,90
-17016,1028,-4644,89,76,95,90
-16884,944,-4612,89,77,95,90
-16752,748,-4796,89,77,95,90
-16656,792,-4880,89,77,95,90
-16416,620,-4864,89,77,95,90
-16252,856,-4780,89,77,95,90
-16412,896,-4804,89,77,95,90
-16364,1108,-4560,89,78,95,90
-16420,1260,-4488,89,78,95,90
-16812,1236,-4312,89,78,95,90
-16896,1424,-4388,89,78,95,90
-16936,1596,-4256,89,78,95,90
-17220,1740,-4244,89,79,95,90
-17060,1916,-4320,89,79,95,90
-16880,1968,-4520,89,79,95,90
-16740,2336,-4240,89,79,95,90
-16736,2284,-4376,89,79,95,90
-16540,2588,-4560,89,79,95,90
-16668,2744,-4696,89,79,95,91
-16820,2752,-4772,89,79,95,90
-16644,2956,-4520,89,80,95,90
-16580,2960,-4448,89,80,95,91
-16576,3056,-4424,89,80,95,91
-16640,3184,-4320,89,80,95,91
-16436,3248,-4492,89,81,95,91
-16484,3120,-4672,89,81,95,91
-16340,3080,-4512,89,81,95,91
-16540,3060,-4580,89,81,95,91
-16364,2940,-4748,89,81,95,90
-16616,2828,-4700,89,81,95,90
-16684,2908,-4852,89,82,95,90
-16796,2980,-4872,89,82,95,90
-16764,2992,-4776,89,82,95,90
-16560,2968,-4788,89,83,95,91
-16604,2844,-4480,89,83,95,91
-16572,2892,-4492,89,83,95,91
-16560,2784,-4408,89,83,95,91
-16452,2684,-4296,89,83,95,91
-16372,2624,-4272,89,83,95,91
-16200,2540,-4336,89,84,95,91
-16136,2276,-4388,89,84,95,91
-16160,2152,-4564,89,84,95,91
-16100,2192,-4400,89,84,95,91
-16136,2276,-4508,89,84,95,91
-16144,2360,-4652,89,84,95,91
-15992,2416,-4516,89,84,95,91
-15852,2500,-4668,89,84,95,91
-15868,2512,-4576,89,85,95,91
-15896,2584,-4580,89,85,95,91
-15760,2712,-4608,89,85,95,91
-15932,2972,-4308,89,85,95,91
-16140,3072,-4192,89,85,95,91
-16228,3076,-4372,89,86,95,91
-16592,3168,-4604,89,86,95,91
-16572,3008,-4748,89,85,95,91
-16644,3056,-4712,89,86,95,91
-16684,2936,-4916,89,86,95,91
-16584,2892,-4884,89,86,95,91
-16712,2808,-4676,89,86,95,91
-16680,2744,-4472,89,86,95,92
-16676,2720,-4536,89,86,95,92
-16772,2676,-4436,89,86,95,92
-16684,2684,-4480,89,87,94,91
-16520,2684,-4304,89,87,95,91
-16600,2460,-4440,89,87,95,91
-16540,2364,-4560,89,87,95,92
-16596,2404,-4552,89,87,95,91
-16692,2464,-4540,89,87,95,92
-16732,2476,-4428,89,87,95,92
-16752,2476,-4264,89,87,95,91
-16716,2572,-4156,89,87,95,92
-16668,2664,-4088,89,87,95,92
-16540,2836,-4028,89,87,95,92
-16408,2892,-4040,89,88,95,91
-16484,3056,-4208,89,88,94,92
-16424,3240,-4248,89,88,95,92
-16564,3220,-4212,89,88,94,92
-16484,3116,-4400,89,88,94,91
-16624,3052,-4412,89,88,94,92
-16204,3052,-4296,89,88,94,92
-16140,3108,-4160,89,88,94,92
-15880,3200,-3944,89,88,94,92
-15776,3468,-3660,89,88,94,92
-15768,3636,-3632,89,88,94,92
-15816,3716,-3516,89,88,95,92
-15912,3788,-3404,89,88,94,92
-16036,3808,-3748,89,88,95,92
-16260,3752,-3860,89,88,94,92
-16216,3628,-3856,89,88,94,92
-16468,3620,-4032,89,88,94,92
-16652,3424,-3888,89,87,95,92
-16752,3276,-3772,89,87,94,92
-16964,3140,-3900,89,87,94,92
-16820,3056,-3920,89,87,94,91
-16648,2940,-4084,89,88,95,91
-16100,2932,-3752,89,87,94,91
-15732,3008,-3704,89,87,94,91
-15684,3048,-3600,89,87,94,91
-15584,3220,-3388,89,87,94,91
