x,y,z,s1,s2,s3,s4
-15968,1316,-4920,86,54,92,30
-15988,1340,-4920,86,54,92,31
-15856,1172,-4772,86,55,92,32
-15992,1184,-4724,86,55,92,32
-16040,1204,-4648,86,56,92,32
-16072,1064,-4376,86,56,92,33
-16016,908,-4248,86,57,92,33
-16376,804,-4152,87,56,92,33
-16588,736,-3952,86,57,92,33
-16736,784,-3800,87,57,92,33
-16916,556,-3944,87,57,92,33
-17088,424,-3888,87,58,92,34
-17092,556,-3872,87,58,92,33
-16968,676,-3876,87,58,92,34
-16912,632,-3972,87,58,92,34
-16612,640,-4168,87,59,92,34
-16176,640,-4616,87,59,92,34
-15936,680,-4660,87,59,92,34
-15760,736,-4980,87,59,92,34
-15720,1044,-4968,87,59,92,34
-15932,1112,-5240,87,59,92,34
-16164,1328,-5356,87,59,92,34
-16436,1516,-5428,87,59,92,34
-16604,1716,-5616,87,59,92,34
-16620,1816,-5656,87,60,92,34
-16612,1812,-5776,87,60,92,32
-16844,1972,-5968,87,60,93,32
-16864,2112,-5936,87,60,93,33
-16928,1992,-5876,87,60,93,33
-16908,1900,-6112,87,60,93,31
-16636,1772,-6172,87,60,93,32
-16752,1636,-6152,87,60,93,32
-16812,1400,-6072,87,61,93,31
-16932,1268,-6060,87,60,93,31
-16920,908,-5852,87,61,93,32
-16896,652,-5988,87,61,93,30
-16936,428,-5876,87,61,93,31
-16864,452,-5756,87,61,93,30
-17024,320,-5744,87,60,93,29
-17220,240,-5592,87,60,93,29
-17188,196,-5720,87,60,93,29
-17160,276,-5788,87,60,93,29
-17152,172,-5768,88,59,93,29
-16848,108,-5888,87,59,93,29
-16768,192,-5916,87,58,93,29
-16824,244,-5828,87,58,93,29
-16728,432,-5928,87,57,93,29
-16596,292,-5916,87,57,93,30
-16544,404,-5904,87,57,93,30
-16520,616,-5864,87,56,93,31
-16720,632,-5920,87,57,93,31
-16996,668,-5880,87,56,93,31
-17108,920,-6136,87,56,93,30
-17344,900,-6156,87,56,93,30
-17672,960,-6264,87,56,93,30
-17868,1092,-6048,87,56,93,31
-17796,1136,-5996,87,55,93,32
-18156,1148,-6084,87,54,93,32
-18028,1256,-5876,87,54,93,34
-17944,1264,-6124,87,54,93,34
-18032,1244,-6088,87,54,93,34
-17884,1280,-6096,87,53,93,35
-17856,1232,-6044,87,52,93,35
-17704,1328,-6028,87,53,93,36
-17604,1128,-5860,87,52,93,36
-17548,1144,-5900,87,52,93,35
-17548,996,-5796,87,51,93,36
-17676,1064,-5952,87,50,93,37
-17832,1072,-5888,87,51,93,37
-17932,928,-5876,87,51,93,37
-18136,848,-5812,87,49,93,38
-18272,736,-5832,86,49,93,38
-18420,696,-5864,86,50,92,39
-18596,528,-5800,86,49,92,39
-18668,340,-5928,86,49,92,40
-18816,300,-5840,86,48,92,40
-18832,204,-5724,86,49,92,41
-18924,148,-6000,86,48,92,41
-19020,-44,-5920,85,47,92,40
-19136,36,-6060,85,48,91,41
-19076,-20,-5652,85,48,91,42
-19152,20,-5932,85,48,91,42
-19244,40,-5972,84,48,91,43
-19068,120,-5996,84,48,91,44
-19268,204,-6180,83,47,91,45
-19484,460,-6240,83,48,91,45
-19880,784,-6384,83,49,91,46
-20132,984,-6408,82,49,90,45
-20492,1348,-6800,82,50,90,46
-21052,1496,-6660,82,49,90,47
-21348,1796,-6768,82,50,89,47
-21508,2112,-6976,81,50,89,47
-21284,2272,-6836,81,51,89,47
-20916,2576,-7072,80,51,88,48
-20620,2540,-6888,80,51,88,48
-19888,2536,-6920,79,52,87,49
-19140,2652,-6740,78,53,86,50
-18644,2600,-6864,78,53,86,50
-17784,2512,-6556,77,54,85,50
-17032,2080,-6312,76,54,84,50
-16584,1852,-6272,76,55,84,51
-15988,1564,-6000,75,55,83,52
-15484,1272,-5680,74,56,83,52
-15116,1128,-5228,74,56,82,52
-15168,672,-5136,73,56,82,53
-14412,-736,-4580,73,56,81,53
-14820,84,-4768,72,56,81,53
-15324,428,-4332,72,56,80,54
-15796,428,-4388,71,56,80,54
-16752,324,-4212,70,56,79,54
-17296,508,-4204,70,56,79,54
-17908,704,-4268,69,56,79,54
-18148,772,-4356,68,56,78,54
-18332,720,-4384,68,57,77,54
-18192,508,-4484,67,57,77,55
-18076,268,-4364,66,58,77,55
-18132,284,-4156,65,57,76,55
-18252,268,-4088,64,57,76,55
-18408,80,-4112,64,57,76,54
-18616,-84,-4020,64,58,75,54
-18968,-172,-4208,64,58,75,55
-19388,-560,-4384,64,58,74,54
-19648,-696,-4464,63,57,74,53
-19784,-1236,-4480,63,57,74,52
-20008,-1140,-4668,63,57,74,52
-19988,-1208,-4644,63,56,74,51
-19940,-1236,-4652,63,57,74,49
-20004,-1200,-4608,63,58,73,48
-20144,-1476,-4512,63,56,73,48
-20664,-1788,-4592,63,56,73,47
-21024,-2120,-4800,63,55,73,46
-20968,-2336,-5328,63,56,73,46
-20660,-2480,-5740,63,56,73,46
-20024,-2444,-6236,63,54,73,46
-19444,-2168,-6288,63,55,73,47
-19212,-2108,-6152,63,53,73,47
-18848,-2040,-5900,63,54,73,48
-18476,-1748,-5384,63,53,73,48
-18100,-1708,-5076,63,54,73,47
-17884,-1604,-4688,63,53,73,46
-17768,-1524,-4600,63,52,73,46
-17696,-1356,-4488,62,53,73,47
-17532,-1260,-4464,63,53,73,47
-17180,-948,-4424,63,53,73,47
-16416,-544,-4548,63,53,73,47
-15728,-176,-4740,63,52,73,47
-14900,-108,-4756,63,52,73,47
-14396,80,-4616,63,54,73,47
-13940,144,-4656,63,53,73,48
-13440,200,-4332,63,53,73,49
-13176,320,-4272,63,53,74,49
-13044,512,-4504,63,53,73,48
-12640,424,-4924,64,53,74,47
-11944,268,-5528,63,52,74,48
-11460,256,-6292,63,52,74,48
-9648,-64,-7712,63,52,74,49
-8732,-340,-8832,63,52,73,49
-7560,-852,-10160,64,52,74,50
-6128,-1172,-11676,63,52,73,50
-5580,-1356,-12248,64,52,74,50
-4560,-1796,-13404,63,52,74,50
-3316,-2352,-14280,64,52,74,49
-2784,-2804,-14772,64,53,74,50
-2396,-2972,-14960,64,53,74,50
-2844,-3108,-14660,64,52,74,50
-3576,-3428,-14372,64,53,73,51
-4512,-3640,-13592,63,53,73,51
-6016,-3820,-12948,64,53,73,51
-6952,-4220,-12100,64,53,74,51
-7908,-4656,-11752,63,53,73,52
-8260,-4896,-11516,64,53,73,51
-8676,-5488,-11592,64,52,73,51
-8940,-5916,-11672,64,53,73,51
-8936,-6556,-12024,64,52,73,51
-8968,-6900,-12240,63,52,73,51
-9252,-7468,-12268,64,52,73,51
-9460,-7832,-12588,63,52,73,51
-9524,-8280,-12180,63,51,73,50
-9508,-8896,-12240,63,51,73,51
-9148,-9440,-12240,63,50,73,52
-9884,-9684,-11832,63,52,73,51
-10396,-9928,-11076,63,52,73,51
-11264,-10108,-10704,63,51,73,51
-12288,-10044,-10124,63,52,73,51
-13204,-10024,-9648,63,51,73,50
-13980,-9932,-9256,63,51,72,51
-14432,-9976,-8784,63,51,73,51
-15032,-9808,-8304,63,50,73,51
-15552,-9552,-7784,63,50,73,51
-16092,-9428,-7252,63,50,73,51
-16348,-9220,-6992,62,50,72,51
-16752,-9056,-6644,62,50,72,52
-17212,-8960,-6060,62,51,72,52
-17596,-8852,-5616,62,50,72,52
-17836,-8884,-5348,62,51,72,51
-18300,-8640,-4848,62,51,72,51
-18420,-8492,-4508,62,51,72,51
-18692,-8416,-4268,62,50,72,52
-18796,-8164,-3820,62,50,72,51
-18976,-7800,-3544,62,50,71,51
-19472,-7416,-3080,62,50,71,51
-19884,-7020,-2896,61,50,71,51
-20292,-6700,-2576,61,50,71,52
-20584,-6324,-2440,61,49,71,51
-20888,-6004,-2308,61,49,71,52
-21076,-5796,-2108,61,50,71,52
-21388,-5512,-1996,61,50,70,51
-21864,-4892,-1388,61,50,71,52
-21972,-4616,-1412,60,50,71,52
-22364,-4108,-1092,60,50,70,51
-22520,-3472,-848,60,49,70,52
-22576,-2988,-888,60,49,70,51
-22632,-2608,-392,60,49,70,51
-22936,-2092,-124,60,50,70,51
