x,y,z,s1,s2,s3,s4
-17012,652,-5416,86,63,92,73
-16916,700,-5428,86,63,92,73
-16872,724,-5572,86,64,92,73
-16740,652,-5492,86,64,92,73
-16560,536,-5656,86,63,92,73
-16616,664,-5576,86,63,92,73
-16584,532,-5704,86,64,92,73
-16540,620,-5628,85,64,92,73
-16388,512,-5512,86,63,92,73
-16228,580,-5592,86,63,92,73
-16060,560,-5784,86,64,92,72
-16116,508,-5880,86,64,92,73
-16032,632,-6000,86,64,92,73
-16164,596,-5804,86,64,92,73
-16260,652,-5876,86,65,92,73
-16292,520,-6004,86,65,92,73
-16356,572,-5936,86,65,92,73
-16400,584,-6060,86,65,92,73
-16496,676,-6104,86,65,92,73
-16464,732,-6108,86,65,92,73
-16596,808,-6092,86,65,92,73
-16468,788,-6244,86,65,92,73
-16480,732,-6336,86,65,92,74
-16456,780,-6448,86,65,92,74
-16624,688,-6392,86,66,92,74
-16580,584,-6452,86,66,92,74
-16576,588,-6564,86,66,92,74
-16676,540,-6656,86,66,92,74
-16656,648,-6572,86,66,92,74
-16596,556,-6584,86,66,92,75
-16680,544,-6708,86,66,92,75
-16664,592,-6804,86,67,92,75
-16700,448,-6772,86,67,93,75
-16712,636,-6960,86,67,93,75
-16668,712,-7040,86,67,92,75
-16628,840,-7144,86,67,93,75
-16528,948,-7124,86,67,93,75
-16512,884,-7156,86,67,93,75
-16564,972,-7152,87,68,93,76
-16780,1000,-7080,87,68,93,76
-16744,1024,-7096,87,68,93,77
-16756,980,-7244,87,68,93,77
-16888,996,-7232,87,68,93,77
-16936,952,-7100,87,68,93,78
-16940,796,-7196,86,69,93,78
-16956,900,-7208,87,69,93,78
-17108,828,-7048,87,69,93,78
-17188,748,-7252,87,69,93,78
-17292,620,-7208,86,69,93,79
-17508,628,-6972,87,69,93,79
-17476,496,-7116,87,70,93,79
-17372,428,-6884,87,70,93,79
-17468,416,-6948,86,70,93,79
-17612,356,-6732,87,70,93,79
-17680,364,-6732,87,70,93,79
-17580,388,-6632,87,70,93,79
-17456,356,-6548,87,70,93,79
-17692,452,-6488,87,71,93,79
-17708,496,-6368,87,71,93,79
-17548,512,-6336,87,71,93,80
-17692,476,-6228,87,71,93,80
-17708,544,-6072,87,71,93,80
-17644,556,-5980,87,71,93,80
-17672,584,-6088,87,71,93,80
-17548,680,-6072,86,71,93,80
-17408,496,-6076,87,71,93,80
-17236,540,-6040,87,71,93,80
-17408,492,-5996,87,71,93,80
-17596,636,-5964,86,71,93,80
-17576,812,-5756,87,72,93,80
-17380,852,-5800,87,71,93,80
-17312,832,-5704,86,71,92,80
-17236,744,-5696,86,72,92,80
-17432,928,-5700,86,72,92,81
-17536,1008,-5728,86,72,92,80
-17488,1192,-5700,86,72,92,81
-17452,1068,-5548,86,71,92,81
-17472,1072,-5540,86,72,92,81
-17324,1052,-5524,86,71,92,81
-17208,1108,-5468,86,72,92,81
-17308,1044,-5384,86,72,92,81
-17268,912,-5300,86,71,92,81
-17480,836,-5244,85,71,91,81
-17476,696,-5112,85,71,91,80
-17756,592,-5028,85,72,91,80
-17808,616,-4848,85,71,91,80
-17864,680,-4924,85,72,91,80
-17908,528,-4912,84,72,91,80
-17664,596,-4788,84,72,90,79
-17532,740,-4732,84,71,90,79
-17516,800,-4676,83,71,90,79
-17356,844,-4648,83,71,90,79
-17292,908,-4520,83,71,90,79
-17288,980,-4556,82,71,89,78
-17240,836,-4584,82,71,89,78
-17356,876,-4332,82,71,89,78
-17364,960,-4292,82,71,89,78
-17436,928,-4136,81,71,88,77
-17292,740,-4064,81,71,88,77
-17172,872,-4024,80,71,88,77
-17352,840,-3692,80,71,88,77
-17540,724,-3680,80,72,87,77
-17528,848,-3604,79,71,87,77
-17800,656,-3564,79,71,86,76
-18068,780,-3444,79,71,86,75
-18192,744,-3396,78,71,86,75
-18460,756,-3268,78,71,85,76
-18608,712,-3268,78,71,85,75
-18768,832,-3056,77,71,85,74
-19000,944,-3184,77,70,84,75
-19044,1116,-2856,76,70,83,74
-19256,1124,-2904,76,70,83,74
-19356,1144,-2808,76,70,82,74
-19124,1072,-2576,75,70,82,74
-18416,1028,-2360,75,70,81,73
-18172,988,-2092,75,70,81,72
-17140,1008,-2116,74,69,80,72
-16656,720,-1800,74,68,80,71
-16252,428,-1496,73,67,79,69
-16288,292,-1292,73,67,79,69
-15936,76,-1320,73,66,78,67
-15708,-16,-1124,72,65,78,66
-15400,-120,-1160,72,64,78,65
-15264,-252,-1208,72,64,77,65
-15128,-440,-932,72,63,77,65
-15204,-580,-844,71,63,77,65
-15076,-520,-748,71,62,76,65
-14576,-792,-696,71,62,76,65
-14728,-660,-208,70,61,76,65
-14664,-704,-96,70,61,76,65
-14952,-896,-160,69,60,76,66
-15148,-760,-164,69,59,75,66
-15252,368,1032,69,59,76,65
-14844,-3188,-696,69,59,76,65
-15900,-1452,1500,69,59,76,65
-16660,-1136,2888,68,60,75,64
-17956,-592,5328,68,60,75,65
-19472,-744,7444,68,60,75,65
-20400,-596,8956,68,60,75,65
-21052,-928,10228,68,60,74,65
-21380,-676,10784,68,60,75,65
-22068,-428,11212,68,60,74,65
-21900,-152,11180,68,60,74,65
-21688,-52,11276,68,60,74,65
-21620,372,11400,68,61,74,64
-21300,744,11640,68,60,74,64
-19444,796,11772,68,59,73,65
-19344,1240,12268,68,59,74,65
-18996,1532,12484,68,59,73,64
-18100,1904,12304,68,59,73,65
-19208,2432,12092,68,59,74,64
-19380,2624,11324,68,59,74,65
-19308,2996,10824,68,59,73,64
-19292,3004,10640,68,59,73,65
-19720,3500,10732,69,59,73,65
-19268,3896,10380,68,60,73,65
-19080,4284,10236,68,59,73,64
-18760,4796,9972,68,60,73,65
-19096,5048,9828,68,58,73,65
-18248,5392,8868,68,59,73,65
-17500,5652,8164,68,59,73,64
-17696,5644,8392,68,59,73,65
-17228,5804,8056,68,59,73,65
-17144,5888,7504,68,58,73,64
-17024,5912,7300,68,58,73,65
-16668,5656,7148,68,59,73,65
-16548,5436,7016,68,58,73,64
-16588,5332,7184,68,58,73,65
-15692,5032,6516,68,58,73,65
-17532,4628,7128,68,58,73,65
-16396,4416,6912,68,58,73,65
-16132,4072,6968,68,58,73,65
-15176,3828,6320,68,58,73,65
-14628,3680,6160,69,58,73,64
-16040,3288,7260,68,58,73,65
-15064,3400,6400,68,58,73,65
-14432,3376,6084,68,58,73,65
-13400,3284,5572,69,58,73,64
-13232,3120,5400,68,58,73,65
-13604,2972,5232,68,58,73,65
-12852,2924,4104,68,57,73,66
-12740,2772,4376,68,57,73,65
-12824,2500,4092,68,57,73,65
