x,y,z,s1,s2,s3,s4
-18892,-564,10008,66,63,70,72
-18960,352,9796,65,63,71,73
-18552,1076,9512,65,63,70,72
-18280,1864,9132,65,63,70,72
-17904,2636,8900,65,63,70,72
-17720,3360,8456,65,63,69,72
-17540,3708,8108,65,64,70,72
-17344,3984,7836,65,63,71,72
-16796,4260,7348,65,62,71,72
-16684,4400,6976,65,62,71,71
-16428,4328,6556,65,63,71,72
-16232,4112,6120,65,62,70,71
-16464,4036,5688,65,62,71,70
-16512,3268,5656,64,61,69,69
-16264,3220,5112,65,62,70,71
-16012,2196,4588,65,63,71,71
-15592,1488,4244,65,63,69,72
-14916,556,3588,64,61,69,70
-15180,-112,3668,65,63,70,70
-15748,-1196,3648,65,62,69,72
-15980,-2384,3672,66,61,69,70
-16232,-2920,3700,65,63,70,71
-15988,-3656,3192,65,63,69,70
-15768,-4352,3360,66,63,70,71
-15448,-4796,3156,65,62,69,70
-15036,-5580,2828,64,62,70,71
-14828,-6052,2640,65,63,70,71
-14508,-6396,2584,65,62,70,70
-14616,-6420,2412,64,62,70,71
-14740,-6872,2304,63,62,70,70
-14832,-7352,2284,65,62,70,71
-14640,-7564,1952,64,62,71,69
-14504,-7640,1852,65,61,69,70
-14392,-7632,1768,64,63,69,69
-14192,-7760,1556,65,64,70,71
-13960,-7896,1416,65,63,70,70
-13912,-7952,1300,65,63,69,69
-13776,-8072,1228,65,63,69,71
-13496,-7992,1084,64,63,69,71
-13452,-7968,984,64,63,69,70
-13304,-8028,1096,65,63,70,70
-13216,-7896,1172,64,62,71,70
-13096,-7628,1084,65,64,71,71
-12844,-7596,1004,65,63,70,70
-12448,-7476,952,64,62,70,69
-12164,-7408,884,64,63,70,70
-12164,-7096,660,64,63,70,70
-12260,-7032,756,64,63,70,70
-12220,-6648,440,65,63,69,69
-11736,-6652,72,65,63,69,69
-11676,-6416,-76,64,63,70,69
-12016,-5900,-96,63,63,70,69
-12128,-5624,-220,64,62,69,69
-11712,-5240,-124,64,63,70,70
-11880,-5032,-188,64,62,70,69
-11608,-4792,-388,63,62,69,70
-11420,-4448,-288,64,62,69,70
-11188,-4344,-492,64,62,68,70
-11120,-4044,-516,65,61,69,70
-11008,-3772,-500,64,62,70,70
-11184,-3664,-512,65,61,70,69
-11220,-3420,-464,65,63,69,68
-11296,-3436,-652,64,62,69,68
-11220,-3236,-412,63,62,69,68
-11288,-3248,-460,64,64,70,68
-11272,-3132,-504,65,63,70,70
-10676,-3092,-616,64,63,70,70
-10836,-2804,-624,65,63,68,69
-11012,-2676,-676,64,63,70,70
-11488,-2508,-544,64,62,70,68
-11516,-2348,-728,63,63,69,69
-11572,-2212,-744,64,63,70,71
-11764,-2108,-840,64,62,69,70
-11872,-2012,-968,64,62,69,69
-11896,-1944,-908,64,62,68,68
-12128,-1816,-1116,64,61,69,70
-12208,-1712,-1188,64,62,69,69
-12172,-1656,-1228,63,60,69,70
-12092,-1616,-1088,63,61,69,69
-12196,-1852,-1264,63,60,69,69
-12180,-1844,-1212,65,62,70,69
-12488,-1852,-1088,64,61,69,69
-12880,-1908,-1160,64,61,69,68
-13324,-1924,-1196,64,60,68,67
-13508,-1676,-1124,64,62,69,69
-13796,-1524,-1172,63,62,69,69
-14092,-1468,-1188,64,61,69,68
-14540,-1320,-1424,63,62,69,68
-14664,-1356,-1264,63,62,68,68
-15100,-1300,-1500,63,61,68,68
-15356,-1144,-1452,64,64,69,68
-15544,-1004,-1552,62,61,68,68
-16044,-832,-1416,62,61,68,68
-16264,-416,-1508,62,60,69,69
-16260,-204,-1524,63,60,69,67
-16540,192,-1616,62,62,69,67
-16676,576,-1884,64,62,69,69
-16888,724,-1616,62,61,69,68
-17164,972,-1700,63,60,68,69
-17392,1140,-1708,62,61,69,68
-17512,1044,-1636,63,61,68,68
-17436,1108,-1760,63,60,69,68
-17480,1020,-1508,62,60,68,67
-17388,1156,-1224,62,61,68,68
-17516,1184,-1100,63,59,68,68
-17612,1372,-1024,62,60,68,66
-17528,1588,-1020,62,60,68,67
-17364,1516,-980,62,61,69,68
-17604,1768,-1024,62,61,69,67
-17780,1724,-912,62,60,68,66
-17568,1680,-900,61,60,68,67
-17544,1616,-1200,63,60,69,67
-17092,1244,-1088,62,60,68,68
-16272,1008,-1200,62,61,67,67
-16616,960,-1084,61,61,67,67
-16936,684,-1168,62,59,67,66
-16916,716,-1144,62,60,68,68
-16724,876,-1292,61,61,67,67
-16696,1032,-1272,61,60,67,67
-16752,1216,-1248,62,61,67,67
-16532,1144,-1472,61,60,67,66
-16616,912,-1704,61,60,67,65
-16520,872,-1672,62,61,67,68
-16368,752,-1620,60,60,68,67
-16376,752,-1912,60,60,67,66
-16476,760,-2420,60,61,67,68
-16644,648,-2996,60,61,66,67
-16840,760,-3224,60,61,66,67
-16852,968,-3768,61,61,67,68
-16608,1208,-3768,60,61,66,67
-16384,1256,-4300,60,60,67,67
-16200,1588,-4612,60,57,65,65
-15960,1760,-4964,60,59,65,64
-15260,1948,-4588,59,57,64,65
-14172,1916,-3764,61,58,63,64
-12988,268,-2924,61,58,65,66
-12540,-1652,-164,60,59,64,67
-11896,-2640,1192,60,59,65,67
-9528,-3428,1524,59,59,64,65
-7764,-3812,640,60,58,65,64
-6488,-3648,-940,61,59,65,66
-3944,-3156,-1916,59,57,64,68
-5592,472,1568,59,58,64,69
-8800,4696,2524,59,58,63,70
-10124,7100,6404,58,57,63,71
-11676,8680,10332,59,57,64,73
-14220,9476,13528,59,58,63,74
-18544,10252,16700,58,60,65,77
-21372,9288,17032,59,60,64,78
-23024,6428,15100,60,59,64,79
-24596,684,11704,59,62,63,82
-24540,-2808,8688,59,63,64,83
-22272,-6520,4536,59,66,63,85
-17920,-7216,1400,59,69,64,85
-14456,-6448,344,60,70,65,87
-10664,-3032,-1088,59,72,64,88
-9332,528,-1572,58,75,64,86
-6776,2440,-3404,58,75,64,89
-11828,4440,-2492,60,74,65,89
-15624,3256,-472,62,76,68,90
-22008,-1460,-276,65,77,70,88
-25688,-4192,-92,66,77,72,90
-21824,-4456,-968,69,78,74,89
-15604,-6252,-5628,71,78,77,90
-16932,-6588,-6764,73,77,78,91
-20788,-7048,-7616,76,76,80,91
-27492,-4476,-10064,76,78,82,91
-32768,-3084,-11388,76,76,83,93
-32768,-3852,-12528,77,77,84,91
-32768,-4780,-12596,77,75,85,92
-32768,-6740,-13868,78,76,84,93
-32768,-7296,-13164,79,77,85,92
-32768,-7516,-10740,79,75,86,93
-32768,-7684,-7400,80,77,86,94
-32768,-8096,-5184,81,77,86,94
-32768,-8608,-2692,82,76,87,95
-30392,-8912,-1800,81,77,87,94
-28124,-8632,-2032,82,77,87,95
-24736,-8096,-2540,81,79,88,95
-21808,-7508,-2636,81,78,88,95
-19860,-6108,-2268,82,79,86,95
-18856,-4896,-1788,81,80,88,94
-17532,-2504,-1132,81,79,87,95
-16384,-300,-556,81,80,87,95
-15320,908,-148,82,80,88,95
-14484,2560,-64,81,78,87,95
-14180,3560,48,81,79,88,95
-14536,4968,196,82,79,87,95
-14816,5868,232,80,79,86,95
-15436,7348,360,81,80,87,96
-15788,7992,604,80,81,86,96
-15980,8280,1212,81,80,86,96
-15984,8164,1556,81,80,86,96
-15768,7652,2228,80,81,87,95
-15648,7084,2880,81,79,87,95
-15420,5896,3448,81,80,86,96
-15308,4972,3984,80,80,86,96
-15392,3576,4524,80,80,87,95
-15352,2648,4776,78,80,86,95
-15156,1460,5092,79,81,86,96
-14856,472,5244,79,80,87,95
-14668,-36,5440,79,80,86,94
-14520,-484,5484,78,81,86,95
-14472,-1184,5348,80,81,85,96
-14576,-1528,5268,78,80,86,96
-14696,-1772,4924,79,82,86,95
-14628,-1760,4696,78,81,86,95
-14624,-1716,4068,79,80,86,95
-15036,-1764,3692,79,80,85,95
-15284,-1516,3200,79,80,85,95
-15604,-1528,2836,78,82,84,96
-16252,-1440,2608,78,82,85,96
-16628,-1476,2596,77,81,85,96
-16788,-1588,2440,77,81,84,95
-17056,-1896,2240,76,81,83,95
-17132,-2240,1744,76,82,83,96
-17164,-2560,1616,77,82,83,97
-17088,-2588,1316,76,83,84,96
-17260,-2752,1488,75,83,82,96
-17184,-2684,1388,75,82,83,96
-17236,-2716,1008,73,82,82,97
-17244,-2736,804,74,83,81,96
-17304,-2652,704,74,82,81,96
-17576,-2608,344,74,84,79,97
-17736,-2636,208,74,84,79,96
-17784,-2268,60,73,83,79,97
-17844,-2116,48,71,85,77,97
-17856,-1936,-344,71,85,78,96
-17952,-1924,-416,70,84,77,96
-17872,-1792,-628,70,83,77,97
-17868,-1684,-608,70,85,76,95
-17904,-1604,-700,69,85,75,97
-18008,-1684,-1012,68,84,76,97
-18064,-1792,-1072,67,84,74,95
-18044,-1704,-1148,66,84,74,96
-18128,-1384,-1088,65,85,72,97
-18252,-1188,-1116,65,85,73,97
-18252,-852,-1104,64,85,72,96
-18428,-660,-1388,62,86,70,97
-18536,-388,-1388,63,85,70,96
-18688,-92,-1552,62,84,70,96
-18900,0,-1592,60,86,69,96
-18928,164,-1604,60,85,69,97
-19252,384,-1720,58,86,67,97
-19132,632,-1696,58,86,68,96
-19376,724,-1716,57,86,67,98
-19748,632,-1716,57,87,66,98
-19792,728,-1768,56,86,65,97
-19968,604,-2040,55,85,64,98
-19880,540,-2068,55,87,64,97
-19816,580,-2048,54,86,64,98
-19696,408,-1700,52,87,62,98
-19568,252,-1368,52,86,62,97
-19508,32,-1420,53,88,63,97
-19896,152,-1576,53,86,62,97
-20572,292,-2364,52,88,62,97
-21428,368,-2888,52,87,62,97
-22352,568,-3208,51,87,62,98
-22796,764,-3412,51,87,62,97
-22856,1404,-3644,50,87,62,99
-22868,1628,-3596,49,86,61,98
-23264,1960,-3540,50,85,61,97
-24128,1448,-3248,49,87,61,99
-24132,1204,-3332,50,86,62,98
-23752,688,-3896,51,86,61,98
-23216,104,-4640,48,85,61,97
-22820,-780,-5248,49,84,62,97
-22764,-1784,-5108,48,84,61,96
-22740,-2532,-4544,49,82,61,95
-22684,-3724,-3956,49,81,61,96
-22800,-4320,-3160,50,79,61,95
-23208,-4476,-2444,51,80,62,94
-23524,-4272,-2168,50,79,62,94
-24248,-3864,-1728,50,77,62,92
-25084,-3416,-1284,51,75,61,92
-25516,-3096,-684,51,73,62,93
-25644,-2076,-316,51,73,62,92
-25400,-1012,168,52,71,62,91
-25296,-124,220,51,70,62,91
-25268,1440,380,52,69,61,88
-25212,2488,432,52,68,62,87
-25088,3936,236,52,67,61,88
-25084,5028,332,53,69,61,86
-24768,6004,196,53,68,61,85
-24208,6804,500,54,68,61,85
-23220,7428,920,53,67,60,84
-22340,7588,1204,53,68,61,83
-21568,7760,1804,55,68,60,83
