x,y,z,s1,s2,s3,s4
,-5584,-7348,49,59,57,61
-12348,-5668,-7344,49,59,57,60
-12616,-5740,-7264,49,58,56,60
-12668,-5824,-7388,49,59,57,61
-12840,-5852,-7520,48,59,56,60
-13068,-5948,-7332,48,58,56,60
-13300,-5904,-7556,48,59,56,59
-13636,-5764,-7624,49,59,56,61
-13912,-5836,-7504,48,59,57,60
-14208,-5840,-7508,49,58,57,61
-14388,-5996,-7460,49,59,56,60
-14624,-5852,-7656,48,59,56,60
-14700,-5744,-7780,48,59,56,59
-14668,-5568,-7852,48,59,56,60
-14764,-5560,-7952,49,58,56,59
-14808,-5356,-7908,48,58,55,60
-14876,-5248,-7980,48,58,56,60
-15152,-5128,-7808,47,57,56,59
-15184,-4800,-7916,48,57,55,59
-15324,-4568,-7964,47,57,56,59
-15584,-4276,-7964,47,56,56,60
-15796,-4000,-7776,47,58,55,60
-16016,-3844,-7768,47,56,55,60
-16120,-3760,-7756,48,57,55,59
-16476,-3792,-7616,47,56,55,59
-16472,-3828,-7396,47,57,55,59
-16524,-3804,-7284,48,57,55,59
-16576,-3512,-7400,47,56,55,60
-16512,-3356,-7428,47,56,54,60
-16588,-3192,-7412,47,55,53,59
-16592,-3200,-7288,47,55,53,60
-16468,-3128,-7336,46,55,53,60
-16528,-3152,-7304,47,56,53,60
-16516,-3404,-7060,46,54,52,60
-16376,-3212,-6916,46,56,53,59
-16380,-3188,-6776,46,55,52,60
-16544,-2964,-6912,47,56,52,59
-16840,-2932,-6900,46,55,52,59
-17108,-3000,-6768,46,55,53,59
-17496,-3012,-6716,46,55,52,59
-17660,-3296,-6684,47,55,52,60
-17980,-3364,-6956,46,54,52,60
-18100,-3332,-7040,47,55,52,59
-18236,-3724,-6924,46,55,51,60
-18272,-3752,-7124,46,55,51,60
-18472,-3796,-6928,46,55,52,60
-18804,-3924,-7016,46,55,51,60
-18952,-3884,-7308,47,55,51,60
-19036,-3904,-7508,45,55,51,60
-18960,-3932,-7472,46,55,51,60
-19044,-3880,-7456,46,54,51,61
-19000,-3772,-7732,47,55,52,60
-18860,-3500,-7708,46,55,52,60
-18640,-3568,-7836,47,55,52,60
-18528,-3204,-7580,45,54,51,60
-18252,-2836,-7628,46,55,52,60
-18468,-2344,-7472,46,55,52,60
-18292,-1912,-7560,47,54,51,60
-18232,-1392,-7208,46,55,51,60
-18168,-748,-7252,45,55,52,58
-18240,-336,-7056,45,54,51,59
-18136,92,-6820,45,54,50,59
-18100,388,-6584,46,54,50,59
-17952,628,-6468,45,55,51,59
-17984,1144,-6012,46,54,50,60
-17908,1312,-5916,46,52,50,59
-17944,1608,-5560,45,53,51,58
-18000,1908,-5320,45,53,50,60
-18156,1860,-5212,45,54,50,59
-18144,1720,-4944,44,54,49,59
-18192,1912,-4996,45,54,49,60
-18084,1464,-4676,44,54,49,59
-17872,1020,-4464,44,55,49,59
-17836,804,-4304,44,55,49,59
-17696,432,-4204,43,54,49,59
-17300,48,-4376,43,54,49,60
-17132,-396,-4532,44,54,49,57
-17212,-892,-5024,43,50,49,56
-17008,-1276,-5208,44,52,49,54
-16804,-1732,-5312,43,53,48,56
-16492,-1264,-4208,43,55,48,56
-16212,-524,-2696,43,54,47,56
-16728,496,-212,43,55,48,56
-18724,660,2128,43,56,48,56
-22324,208,3004,44,59,48,56
-25352,-880,3884,43,61,49,58
-27552,-4992,4440,44,64,50,59
-30340,-8392,4284,44,68,50,60
-31492,-10180,2752,43,70,50,64
-30364,-11332,-2272,44,72,48,68
-26004,-11808,-8124,44,73,49,70
-20564,-12740,-12276,44,75,50,72
-15888,-13636,-14116,44,77,50,73
-12692,-12780,-13688,44,78,50,74
-13220,-12596,-12664,45,79,50,75
-9696,-9180,-12600,45,80,50,76
-10412,-7720,-13320,44,80,50,77
-10468,-9460,-14616,43,81,49,78
-8244,-11264,-15988,43,82,48,79
-5584,-13544,-18696,43,82,46,79
-1536,-14756,-21480,44,82,47,79
472,-15088,-24788,44,83,48,78
436,-15480,-26472,45,83,48,77
-320,-16016,-27976,46,83,49,78
-2284,-15628,-26836,45,84,49,77
-5044,-14024,-23460,44,84,53,78
-8012,-12224,-18448,44,85,54,78
-11944,-10600,-15088,44,85,56,78
-14640,-9348,-10040,45,85,59,78
-18968,-7736,-6356,45,85,60,78
-23676,-5368,-4672,48,85,61,79
-27476,-2532,-4636,50,86,63,79
-30252,-904,-4812,51,86,63,81
-31440,384,-5476,52,87,65,81
-32060,824,-6308,52,88,65,81
-31300,1268,-7464,52,88,65,81
-30184,2128,-9552,53,88,66,82
-27472,2472,-10744,54,89,67,81
-25416,2756,-12172,54,89,68,82
-22180,2824,-12812,54,91,69,83
-19048,2552,-12844,55,89,69,82
-16580,2352,-12684,55,90,69,83
-15256,1896,-11932,54,90,69,83
-13600,1540,-10936,54,91,69,82
-12244,1180,-10208,54,90,69,83
-11952,460,-9048,54,91,69,82
-11888,-256,-8184,53,91,68,83
-12220,-1000,-7460,52,92,68,83
-12596,-1748,-6496,52,91,67,83
-13500,-2588,-5552,51,91,67,83
-14400,-3316,-5104,51,92,66,83
-15400,-3688,-4932,51,92,66,84
-15928,-4020,-5148,50,92,65,85
-16828,-4184,-5504,49,92,64,84
-17176,-4128,-5900,48,92,63,83
-17328,-3768,-6460,48,92,61,84
-17116,-3344,-6916,46,92,60,84
-16832,-2776,-7092,44,93,60,85
-16244,-2336,-6960,43,93,58,85
-15892,-1732,-6980,41,93,57,85
-15320,-1496,-6668,38,92,56,85
-14772,-1168,-6560,38,92,55,85
-14392,-1256,-6432,35,92,52,84
-14372,-1408,-6496,35,92,51,84
-14356,-1620,-6608,33,92,51,84
-14564,-1920,-6764,32,93,49,84
-14616,-2332,-7084,32,92,47,82
-15076,-2740,-7396,33,92,47,83
-15668,-3332,-7920,32,92,46,82
-16096,-3412,-8516,32,92,47,81
-16136,-3156,-9516,33,92,46,81
-16844,-4064,-9940,32,92,45,81
-16788,-4380,-10372,33,90,45,79
-16448,-4980,-11096,34,91,47,79
-16264,-5460,-11852,33,90,47,78
-16232,-5812,-12316,33,90,46,78
-16176,-5832,-12840,34,90,47,77
-16056,-6220,-13296,33,89,47,76
-16184,-6408,-13508,32,88,47,77
-16104,-6764,-13852,33,88,47,75
-15960,-7468,-13952,32,88,47,75
-15936,-8124,-13812,34,87,47,74
-15988,-8520,-13416,33,86,47,74
-15996,-8836,-13220,33,86,48,73
-16060,-9100,-12796,33,85,48,74
-16184,-9264,-12496,33,84,48,73
-16592,-9328,-11936,33,83,48,72
-16876,-9424,-11356,33,82,47,72
-16992,-9256,-11072,32,81,47,72
-17156,-9092,-10484,33,81,48,70
-17236,-8892,-10316,32,80,47,69
-17308,-8564,-9540,32,80,46,69
-17448,-8100,-9164,31,79,47,69
-17728,-7828,-8704,32,79,46,68
-17808,-7208,-8156,31,78,47,69
-18272,-6628,-7580,31,78,45,68
-18836,-6044,-7216,31,78,46,69
-19520,-5840,-7048,33,76,46,68
-19900,-5224,-7108,32,74,45,68
-20668,-4784,-7032,33,76,46,67
-21252,-4532,-7456,33,75,46,68
-21704,-4344,-7744,34,74,46,69
-22212,-4340,-8024,33,74,45,68
-22412,-4468,-7924,34,74,45,69
-22480,-4496,-7672,34,73,46,68
-22744,-4592,-6868,34,73,45,69
-23136,-4280,-6024,36,73,46,69
-23304,-4116,-5396,35,73,46,69
-23328,-3568,-4172,34,72,45,69
-23444,-2768,-3024,35,72,46,68
-23516,-1688,-2384,34,72,45,67
-23712,-1500,-1868,34,71,45,68
-23856,-1904,-1008,34,71,45,68
-24004,-2012,-612,35,71,45,68
-23960,-2336,-288,35,70,44,69
-23856,-2072,-288,35,70,44,68
-23640,-1960,-564,36,71,44,68
-22876,-2020,-772,36,71,44,68
-22376,-2100,-1396,35,70,44,68
-21512,-2600,-2184,36,70,44,68
-20396,-2952,-2664,37,69,44,69
-19384,-3304,-3240,36,69,43,68
-18620,-3772,-4156,36,69,44,68
-17804,-4360,-5028,37,68,44,68
-17132,-4560,-5680,36,69,44,68
-16740,-5188,-6172,37,68,44,67
-16704,-5512,-6524,36,68,44,67
-16724,-5620,-6648,37,68,44,67
-17268,-5812,-6440,37,67,44,67
-17476,-5632,-6092,36,67,43,68
-18108,-5800,-5292,36,66,43,66
-18912,-6124,-4704,36,66,43,67
-19260,-6416,-4020,36,65,44,66
-19836,-5860,-3620,36,65,43,66
-20664,-6128,-3972,35,65,44,66
-20572,-6648,-3600,36,65,43,65
-20456,-6036,-4028,36,65,43,65
-20184,-6064,-4516,36,65,43,65
-19876,-5860,-7320,36,65,44,66
-19100,-5360,-8980,36,64,43,64
-18460,-4364,-10436,35,65,43,64
-17180,-3252,-10636,36,63,44,64
-15652,-2288,-10636,35,64,44,65
-13588,-1704,-10476,36,64,43,65
-12004,-968,-9812,37,64,43,64
-10464,-416,-9324,36,64,43,65
-9684,96,-9172,36,64,43,63
-9268,832,-9200,35,63,43,63
-9252,1204,-9004,34,63,44,65
-9500,1532,-8784,35,61,44,64
-10424,1260,-8876,34,62,43,64
-11460,1124,-8860,35,61,43,64
-12196,628,-8904,34,61,43,63
-13328,12,-8940,33,60,43,63
-14012,-532,-8780,34,60,43,63
-14764,-952,-8480,34,61,43,63
-15388,-1380,-7976,34,61,43,63
-16376,-1884,-7676,35,61,43,63
-16816,-2336,-6740,35,61,43,63
-17080,-2364,-6860,34,60,43,62
-17392,-2680,-7044,34,59,43,62
-16968,-2620,-6200,34,59,43,62
-16432,-3080,-5936,33,60,43,61
-15988,-3336,-6156,34,59,43,62
-15456,-3620,-6304,34,59,43,61
-14612,-3476,-6368,33,59,43,61
-13956,-3436,-6288,33,59,42,60
-13440,-3280,-6364,34,58,43,60
-12968,-3252,-6192,33,59,43,61
-12768,-3164,-6316,34,58,43,60
-12512,-3152,-6188,34,58,43,61
-12600,-3040,-6112,34,58,43,59
-12484,-2832,-6048,34,59,42,59
-12352,-2632,-6016,34,58,42,59
-12376,-2540,-5940,34,58,42,60
-12504,-2332,-6168,34,58,41,59
-12536,-2380,-6096,34,57,42,58
-12464,-2448,-6000,34,58,42,57
-11820,-2096,-6364,34,58,42,57
-11944,-2288,-6776,34,57,42,58
-12008,-1924,-7084,34,57,41,58
-12092,-1840,-7240,34,57,41,58
-12196,-1716,-7396,33,56,41,59
-12432,-1488,-7508,34,57,40,57
-12592,-1508,-7428,34,56,40,57
-12468,-1340,-7856,34,57,40,58
-12336,-1156,-8032,35,56,41,57
-12036,-1108,-8224,35,57,41,57
-11336,-1132,-8336,34,56,40,57
-10868,-1204,-8544,34,57,40,57
-10148,-1464,-8496,34,56,40,56
-9428,-1728,-8380,34,56,40,56
-8928,-1860,-8244,34,56,40,56
-8464,-2080,-8096,35,56,41,55
-8044,-2300,-8148,34,56,40,57
-7912,-2368,-8016,34,57,40,57
-7672,-2324,-7656,33,56,40,56
-7620,-2484,-7584,33,54,39,56
-7520,-2504,-7492,34,55,41,57
-7716,-2572,-7320,34,56,40,56
-7840,-2644,-7332,34,56,40,56
-7804,-2532,-7516,33,56,40,56
-7860,-2632,-7480,32,55,40,56
-7824,-2560,-7496,33,55,40,55
-8068,-2780,-7544,33,56,40,55
-8200,-2672,-7564,34,57,40,56
-8304,-2484,-7848,34,56,40,56
-8412,-2264,-8040,34,56,40,56
-8592,-2252,-8064,34,56,40,55
-8700,-2064,-8340,34,55,40,56
-8828,-1972,-8536,33,55,40,55
-9000,-1912,-8660,34,56,40,55
-9172,-1544,-8796,33,55,40,55
-9256,-1488,-8860,33,56,40,54
-9392,-1276,-9144,33,55,39,54
-9560,-880,-9316,33,55,40,54
-9676,-600,-9264,33,54,39,53
-9892,-152,-9460,34,55,40,53
-10092,24,-9432,34,55,40,55
-10408,252,-9576,33,54,39,55
