x,y,z,1,2,3,4
-16788,-148,-6176,87,74,92,64
-16808,-152,-6112,87,75,92,64
-16908,-88,-6092,87,75,92,64
-16840,-108,-5984,87,75,92,64
-17036,36,-6192,87,75,92,64
-17052,64,-6068,87,75,92,64
-17144,180,-6072,87,76,92,64
-17296,140,-6044,87,75,92,64
-17264,208,-5992,87,76,92,64
-17008,292,-6132,87,75,92,65
-16860,124,-6308,87,75,92,65
-16800,264,-6156,87,76,92,65
-16868,464,-6024,87,75,92,65
-17032,316,-6156,87,76,92,65
-17048,376,-6204,87,76,92,65
-16792,328,-6124,88,76,93,65
-16484,388,-6256,87,76,93,66
-16104,416,-6364,88,75,93,65
-16232,480,-6124,87,76,93,66
-16400,508,-6048,88,76,93,65
-16668,640,-6084,88,76,93,66
-16988,560,-6060,88,76,93,65
-17052,700,-5852,88,76,93,66
-16948,816,-6020,88,76,93,65
-16808,832,-5964,88,76,93,65
-16972,844,-6080,88,77,93,65
-16984,940,-5984,88,77,93,65
-17360,1104,-5932,88,77,93,65
-17348,992,-5800,88,77,93,65
-17464,1016,-5884,88,77,93,66
-17396,1044,-5932,88,77,93,66
-17296,948,-6096,88,77,93,66
-17216,848,-6244,88,78,93,66
-17016,824,-6256,88,77,93,66
-16576,652,-6432,88,78,93,66
-16468,516,-6320,88,78,93,67
-16648,272,-6200,88,77,93,68
-16700,196,-6072,88,78,93,67
-16924,180,-5848,88,77,93,67
-17180,48,-5668,88,78,93,67
-17292,244,-5504,88,78,93,68
-17452,192,-5244,88,79,94,68
-17164,80,-5096,88,78,93,68
-17156,272,-4860,88,79,93,68
-17168,428,-4676,88,79,94,68
-16948,508,-4232,88,79,94,69
-16832,516,-3972,89,79,93,69
-16976,592,-3736,88,79,93,69
-16824,656,-3660,88,79,93,68
-16972,732,-3520,88,80,93,69
-17004,824,-3492,88,79,93,69
-16984,744,-3624,88,80,93,68
-17140,940,-3548,88,80,93,69
-16996,936,-3556,88,80,93,69
-16936,988,-3416,88,80,93,69
-17036,864,-3512,88,80,93,69
-17088,1072,-3468,88,81,93,70
-17116,1252,-3480,88,81,93,69
-17052,1360,-3476,88,81,93,70
-17028,1304,-3504,88,81,93,70
-17016,1684,-3508,88,81,93,70
-17028,1708,-3640,88,81,93,70
-17176,1840,-3724,88,81,93,70
-17276,1924,-3780,88,80,93,70
-17408,1956,-3800,88,81,93,70
-17488,2096,-3724,88,81,92,70
-17484,2120,-3744,87,81,93,70
-17504,2076,-3796,88,81,92,71
-17708,2024,-3760,87,81,92,71
-17740,2016,-3836,87,81,92,71
-17764,1988,-3704,87,81,92,71
-17896,1948,-3412,87,81,92,71
-17840,1884,-3596,86,81,92,71
-17752,1696,-3548,86,81,91,71
-17676,1768,-3368,86,81,91,71
-17516,1736,-3416,86,81,91,71
-17528,1512,-3356,86,81,91,71
-17504,1372,-3328,85,81,91,71
-17684,1512,-3304,85,81,91,70
-17868,1588,-3232,85,81,90,70
-18012,1584,-3336,85,81,90,70
-18484,1656,-3572,84,80,90,69
-19176,1764,-3408,84,80,90,68
-19704,1780,-3304,84,81,89,68
-20216,1868,-3476,84,80,89,68
-20432,2000,-3524,83,80,89,67
-21040,2128,-3440,83,79,88,66
-21248,2124,-3868,82,79,88,66
-21196,1936,-3868,82,79,88,65
-21428,1972,-3912,82,78,87,64
-21088,1992,-3844,81,78,86,63
-20596,1872,-3764,80,78,86,62
-19636,1896,-3628,79,77,86,61
-18760,1840,-3272,79,76,85,61
-18396,1548,-2924,78,77,85,59
-17756,1092,-2384,77,76,84,59
-17060,424,-1844,76,75,83,59
-16568,20,-1576,75,74,82,58
-15928,-712,-1180,75,74,82,57
-15628,-1172,-680,74,74,81,57
-15612,-1852,-60,74,74,81,56
-15700,-2180,172,73,73,80,57
-16128,-2448,376,73,72,80,57
-16328,-2500,596,73,73,79,56
-16756,-2428,804,73,73,79,56
-17144,-1952,1056,72,72,78,55
-17364,-1580,1352,72,71,78,55
-17792,-1164,1308,71,71,78,55
-18220,-884,1280,71,70,77,56
-18168,-616,1320,71,70,77,56
-18052,-88,1076,71,69,77,56
-17820,76,892,70,69,76,55
-17520,72,644,70,67,76,55
-17092,316,-224,70,66,76,54
-16932,344,-480,70,65,76,54
-17392,656,-176,69,65,76,54
