x,y,z,s1,s2,s3,s4
-16984,172,-5564,88,66,94,77
-17072,300,-5624,88,66,94,77
-17052,348,-5528,88,65,94,77
-16852,316,-5548,88,66,94,77
-16888,220,-5620,88,66,94,77
-16892,380,-5428,88,65,94,77
-16656,508,-5376,88,66,94,77
-16476,412,-5436,88,65,94,77
-16268,428,-5288,88,66,94,76
-16164,488,-5324,88,65,94,76
-16080,456,-5328,88,65,94,76
-16072,320,-5464,88,66,94,75
-15700,180,-5776,88,66,94,75
-15780,336,-5856,88,66,94,74
-16064,328,-6012,88,65,94,75
-16432,328,-6096,88,65,94,74
-16588,180,-6488,89,65,95,74
-16572,44,-6640,89,65,95,74
-16532,-24,-6688,89,65,94,74
-16608,-28,-6796,89,65,95,74
-16608,-232,-6892,89,65,95,73
-16720,-176,-6684,89,64,95,72
-16656,-408,-6800,89,65,95,72
-16748,-456,-6676,89,65,95,71
-16772,-480,-6288,89,65,95,71
-16812,-576,-6244,89,65,95,72
-16840,-932,-6044,89,65,95,72
-16800,-1016,-5952,89,65,95,71
-16872,-1192,-5876,89,65,95,72
-16888,-1236,-5864,89,65,95,71
-16968,-1184,-5764,89,65,95,72
-17104,-1100,-5736,89,65,95,70
-17120,-1096,-6072,89,64,95,71
-17180,-952,-6156,89,65,95,72
-17176,-892,-6264,89,65,95,71
-17032,-784,-6268,89,64,95,71
-17020,-616,-6376,89,64,95,71
-17044,-264,-6368,89,64,95,71
-16972,-120,-6384,89,64,95,70
-16864,24,-6528,89,64,95,70
-16960,196,-6528,89,64,95,70
-17004,452,-6604,90,65,95,70
-17044,540,-6584,89,65,95,70
-17240,648,-6768,90,65,95,70
-17320,740,-6968,89,64,95,70
-17288,688,-7024,89,64,95,69
-17480,644,-7288,90,64,96,70
-17492,488,-7300,90,64,95,70
-17832,360,-7540,89,64,95,70
-17664,320,-7756,90,64,95,69
-17900,4,-7928,90,64,95,70
-17896,0,-8080,90,63,95,69
-17944,-272,-8420,90,64,95,69
-18008,-328,-8404,89,64,95,70
-18284,-548,-8648,89,64,95,70
-18072,-848,-9080,90,64,95,69
-18252,-912,-9096,89,64,95,69
-18300,-1172,-9200,89,64,95,70
-18872,-1276,-9140,89,64,95,70
-19276,-1296,-9052,89,64,95,69
-19488,-1420,-9064,89,63,95,69
-19404,-1604,-9164,89,64,95,69
-19328,-1684,-9188,89,63,95,70
-19320,-1612,-9312,89,64,95,70
-19084,-1664,-9264,89,64,95,70
-18992,-1684,-9336,89,65,95,70
-18956,-1664,-9324,89,65,95,70
-18980,-1520,-9148,88,66,94,71
-19112,-1280,-8988,88,66,94,71
-19124,-1172,-8740,88,66,94,71
-19608,-1116,-8728,88,66,94,71
-19580,-1244,-8912,87,67,93,71
-19772,-1240,-8972,87,66,93,71
-20096,-1104,-8968,87,66,93,71
-20020,-804,-9232,87,68,92,71
-20436,-528,-9436,86,68,92,71
-20492,-580,-9556,86,68,92,71
-20896,-480,-9476,85,69,91,71
-21156,-324,-9488,85,69,91,72
-21172,-208,-9460,84,69,90,71
-20672,-180,-9216,83,69,90,73
-20236,-236,-8848,82,70,89,71
-19984,24,-8708,82,71,89,71
-19496,8,-8600,81,71,88,71
-19384,32,-8412,80,71,87,70
-19332,-156,-8048,79,73,86,69
-19052,-300,-8188,79,72,85,70
-18428,-396,-8168,78,73,84,70
-20608,-76,-7860,76,73,83,70
-21468,188,-7904,75,73,83,70
-20732,-212,-7896,74,74,82,69
-20532,-276,-7672,73,75,81,69
-19796,-52,-7636,72,75,80,69
-19788,72,-7712,71,75,80,68
-19780,152,-7692,70,76,79,68
-19572,-8,-7920,70,77,78,69
-19492,-72,-7768,69,77,78,68
-20004,-200,-8224,68,77,78,67
-21808,-452,-8348,67,78,77,67
-22672,56,-8384,67,78,77,67
-22952,-548,-8572,66,78,76,67
-24600,284,-8500,66,78,76,66
-23276,308,-8720,66,78,76,66
-23188,180,-8676,66,76,76,66
-23300,-500,-9176,66,77,76,65
-23204,-1020,-9612,66,76,76,65
-23708,-1512,-10356,67,76,76,64
-23672,-1804,-11372,67,75,76,63
-23380,-2184,-11944,67,75,76,63
-22968,-2172,-12040,67,75,76,61
-22416,-1848,-11600,67,74,76,60
-21900,-1612,-10988,67,74,76,60
-21260,-860,-10372,67,74,76,61
-20748,12,-9292,67,73,76,62
-20248,520,-8740,66,73,76,63
-19404,1556,-8180,66,73,76,63
-18524,2108,-7624,67,73,76,62
-17248,2852,-7040,67,72,76,62
-15968,3140,-6708,67,71,76,61
-15236,3364,-6460,67,70,76,62
-13904,3708,-6496,68,70,76,61
-12972,3928,-6436,67,69,76,62
-11576,4384,-7008,67,69,76,63
-10396,4964,-7636,67,70,76,63
-9516,5288,-7848,67,69,76,62
-7976,5812,-8916,68,69,76,63
-6968,6268,-9676,68,69,76,63
-5172,6336,-11248,68,70,76,63
-3368,6128,-12600,68,70,76,65
-2336,5764,-13768,68,70,76,65
-576,5184,-15588,68,70,76,65
516,4872,-16416,68,70,76,66
1996,3856,-17300,68,70,76,66
2968,2880,-17416,68,71,76,66
3028,2280,-17052,68,70,76,66
2484,1304,-15940,68,70,76,66
1664,748,-15472,68,70,76,66
-504,176,-14600,68,69,76,66
-2040,-196,-14380,68,70,76,66
-3944,-556,-14488,68,70,76,66
-4800,-572,-14836,68,69,76,67
-5384,-836,-15128,68,69,76,67
-5076,-1396,-15880,68,70,76,68
-4644,-1632,-16192,68,70,76,68
-3788,-1944,-16132,68,70,76,68
-3608,-1952,-15816,68,69,76,68
-3680,-1640,-15164,68,69,76,68
-4000,-1636,-14620,68,69,76,68
-4792,-1184,-13708,68,69,76,68
-5932,-928,-12768,68,70,76,69
-6628,-900,-12224,68,69,76,68
-7532,-1088,-11652,68,70,76,68
-8488,-1368,-11064,68,70,76,68
-8972,-1716,-10996,68,70,76,69
-9588,-2284,-10616,68,70,76,69
-10108,-2888,-10392,68,70,76,69
-10868,-3760,-10264,68,70,76,70
-11460,-4440,-10004,68,71,76,70
-11800,-4816,-9588,68,70,75,69
-12696,-5356,-9248,68,70,75,69
-13380,-5852,-8796,68,70,75,69
-14228,-6056,-8260,68,70,75,68
-14956,-6040,-7980,68,69,75,68
-15708,-6008,-7304,68,69,75,67
-16276,-5628,-6784,67,69,75,67
-16644,-5732,-6132,67,69,75,67
-17004,-5172,-5512,67,70,75,67
-17228,-4864,-4648,67,68,75,67
-17504,-4352,-3696,67,69,75,67
-17768,-3980,-3160,67,69,75,67
-17996,-3288,-2444,67,69,75,67
-18424,-2644,-1488,67,69,74,68
-18868,-1852,-760,67,69,74,67
-19088,-1436,-496,67,69,74,68
-19400,-640,104,67,69,74,67
-19636,-204,384,67,69,74,67
-19776,456,724,67,69,74,67
-19672,960,768,67,69,74,67
-19668,1404,932,67,69,74,67
-19436,1624,876,67,69,74,67
-19256,1892,704,67,69,74,67
-19176,2076,448,66,68,74,67
-18984,2092,292,66,68,74,67
-18804,2092,-96,66,68,73,66
-18648,2176,-176,66,68,73,67
-18628,1972,-508,66,69,73,67
-18612,1832,-820,66,69,73,66
-18540,1656,-1088,66,68,73,66
-18688,1540,-1280,65,68,73,66
-18748,1552,-1456,66,69,73,66
-18740,1436,-1584,65,69,73,66
-18752,1260,-1932,65,69,73,66
-18776,1024,-1820,65,68,73,65
-18820,712,-1672,65,68,73,66
-18956,540,-1880,65,68,73,65
-19244,232,-1952,65,69,73,67
-19184,328,-2284,65,68,73,65
-19336,-888,-1596,65,68,72,66
-21372,-788,-908,65,69,72,65
-21516,-700,-576,65,68,72,65
-19432,-1532,-1416,64,68,72,65
-18248,-1656,-1196,64,68,72,65
-17936,-1976,-1292,64,68,71,65
-18028,-2060,-648,64,67,72,65
-18344,-2956,-304,64,67,72,64
-18512,-2408,-528,64,68,72,65
-19124,-2948,84,64,68,72,66
-18948,-3312,-196,64,67,71,65
-19812,-3176,528,64,67,71,65
-20236,-3712,620,64,67,72,65
-20444,-4352,772,64,67,71,65
-20680,-4204,1092,63,67,71,66
-20116,-5004,1052,63,66,71,65
-19952,-4368,1012,64,67,71,65
-19240,-5040,748,63,67,71,66
-19372,-4892,660,64,67,71,66
-19352,-4228,688,63,66,71,64
-19308,-4352,568,63,67,71,67
-18696,-4272,564,63,67,71,65
-18332,-4548,76,63,67,71,65
-18652,-4564,440,63,67,71,66
-18988,-4552,300,63,66,71,66
-19460,-4388,408,63,66,71,66
-19916,-4380,292,63,66,70,66
-20104,-4260,532,63,66,71,66
-19832,-3988,-144,63,66,70,65
-20044,-3776,-264,63,67,70,66
-20288,-3712,104,63,66,70,66
-20480,-3728,160,63,66,70,65
-20336,-3260,148,63,67,70,66
-19316,-3432,28,63,67,70,66
-18868,-3172,24,63,67,70,66
-18356,-2916,-92,63,67,70,65
-18132,-2416,-236,63,67,70,66
-18184,-2304,-464,63,67,70,67
-17676,-2472,-280,62,67,70,67
-17080,-3024,-600,62,66,70,67
-17000,-2116,-632,63,67,70,66
-16864,-2256,-920,63,67,70,66
-17276,-2352,-848,63,66,70,67
-17136,-1908,-1304,63,66,69,66
-17020,-1440,-1384,63,66,70,67
-17236,-1672,-1584,62,66,69,67
-17052,-1216,-1880,62,66,69,67
-17028,-1500,-2028,62,67,69,67
-17256,-1028,-2120,62,67,69,67
-17616,-708,-2496,62,66,69,67
-17876,-348,-2576,62,66,69,67
-17700,-296,-2608,62,66,69,66
-17708,-324,-2888,62,65,68,67
-17788,-428,-3300,62,63,69,69
-19156,-152,-2200,63,63,69,65
-21272,2448,-2312,63,66,68,66
-22132,3096,-3388,63,64,69,65
-21080,4608,-4960,64,64,69,66
-21012,4564,-3944,64,65,69,63
-21944,4156,-3560,64,64,70,63
-23352,4508,-1444,66,63,71,62
-23164,5160,2148,67,63,72,64
-22468,4780,3988,69,63,73,64
-22960,4116,5632,71,64,75,63
-24864,4096,7100,74,64,77,63
-28864,3696,7808,76,65,79,63
-32024,4088,8920,77,66,81,63
-32768,6132,10796,78,68,82,64
-32768,12440,15324,79,69,83,66
-32768,14936,14584,80,69,84,66
-32060,13404,8924,81,69,85,65
-32768,10628,3132,81,69,86,67
-32768,9280,-632,81,69,86,66
-32768,7432,-7044,82,69,86,69
-32768,6872,-11600,82,70,87,68
-32768,6564,-18484,82,69,87,69
-32768,6132,-24636,83,69,87,70
-32188,5400,-27156,83,70,88,70
-27792,4400,-27284,83,70,88,70
-20088,516,-27960,83,69,88,70
-13412,-3936,-29000,83,70,88,70
-9824,-5856,-26560,83,70,88,71
-9216,-6468,-23496,83,70,88,71
-9740,-6496,-18416,83,70,88,70
-11712,-4828,-12728,83,71,88,70
-14704,-1992,-7144,83,70,88,71
-16480,-788,-3700,83,70,88,71
-18628,860,1388,84,70,88,72
-19320,1428,4672,84,69,88,71
-19408,988,9160,84,70,88,72
-19032,768,12100,84,70,88,72
-18008,428,15384,84,70,88,73
-15468,900,17252,84,70,89,73
-12940,2684,16940,84,71,89,73
-9464,5360,15228,85,71,89,74
-7576,6632,13112,85,71,89,75
-5916,7364,8824,85,71,89,75
-5572,7400,5636,85,70,89,75
-6312,6280,1540,85,70,89,75
-6824,5332,-276,85,70,90,76
-6068,3300,-2652,86,71,90,75
-4888,1584,-3408,85,71,90,76
-3956,-1076,-3440,85,71,90,76
-3976,-2980,-3248,86,72,90,76
-5496,-5336,-2848,86,72,90,77
-8756,-6608,-2272,86,70,90,78
-11420,-7172,-1956,86,71,91,78
-15344,-7524,-1824,86,71,91,78
-18560,-7504,-1848,86,71,91,79
-20060,-7876,-1840,86,71,91,78
-20544,-7812,-1668,86,71,91,78
-20280,-7688,-1080,86,71,91,79
-19696,-6716,-468,86,71,91,79
-19164,-5920,-32,86,72,91,79
-18436,-4596,388,86,72,91,79
-18084,-3872,672,86,71,91,80
-18060,-2836,600,87,72,91,80
-18312,-1812,4,87,72,91,80
-18264,-932,-620,87,72,91,80
-18700,676,-1624,86,72,91,81
-18736,1108,-2320,87,72,91,80
-18300,1876,-3640,87,73,91,81
-17804,2772,-4140,87,72,91,80
-17508,3984,-4748,87,72,91,81
-16860,5308,-4852,87,72,91,80
-16288,6276,-5036,87,72,91,80
-15180,7228,-4936,87,72,91,80
-14264,7880,-4824,87,73,91,80
-13656,8268,-4904,87,73,91,81
-13388,8420,-4812,87,73,91,80
-13268,8180,-4424,87,73,91,80
-13636,7880,-4268,87,73,91,80
-14100,7132,-3792,87,73,91,80
-14488,6692,-3768,87,73,91,80
-15188,5876,-3440,87,73,91,80
-15820,4952,-3332,87,73,91,80
-16236,4492,-3292,87,73,91,80
-16596,3704,-3008,87,73,91,80
-16720,3044,-2804,87,73,91,80
-16992,2612,-2820,87,73,91,80
