x,y,z,1,2,3,4
-16344,1212,-4712,88,66,95,73
-16416,1244,-4668,89,66,95,73
-16392,1220,-4556,88,66,95,73
-16368,1320,-4464,89,66,95,74
-16480,1376,-4332,89,66,95,74
-16404,1420,-4276,89,66,95,74
-16480,1448,-4256,89,66,95,74
-16664,1508,-4356,89,66,95,73
-16788,1680,-4272,89,65,95,73
-16800,1648,-4192,89,65,95,73
-16936,1668,-4336,89,65,95,73
-16872,1568,-4308,89,65,95,73
-16980,1604,-4488,89,65,96,74
-16860,1488,-4364,89,65,96,73
-16884,1436,-4508,90,65,96,73
-16852,1536,-4544,89,65,96,73
-16776,1328,-4636,89,65,96,73
-16956,1252,-4664,89,65,96,73
-16940,1212,-4756,90,65,96,73
-16984,1192,-4828,89,65,96,73
-16944,1144,-5116,90,65,96,72
-17020,1080,-5152,90,65,96,72
-16976,1040,-5272,90,65,96,72
-16840,1040,-5344,90,65,97,72
-16780,1084,-5560,90,65,97,72
-16784,1004,-5680,90,65,97,72
-16844,980,-5432,90,65,97,72
-17008,932,-5628,90,65,97,73
-17096,832,-5592,90,64,97,73
-17272,700,-5692,90,64,97,73
-17348,568,-5652,90,65,97,73
-17640,576,-5472,90,64,97,73
-17640,396,-5668,90,64,97,72
-17712,272,-5680,90,64,97,73
-17748,240,-5816,90,64,97,73
-17764,172,-5900,90,64,97,73
-17828,20,-6032,90,64,97,73
-17664,-40,-6116,90,63,97,73
-17772,-100,-6244,90,63,97,73
-17628,-196,-6348,90,63,97,73
-17428,-252,-6272,90,63,97,73
-17480,-188,-6408,90,63,97,73
-17492,-236,-6396,90,63,97,73
-17608,-124,-6452,90,62,97,73
-17840,-128,-6688,90,62,97,72
-17836,-68,-6744,90,62,97,72
-18096,-16,-6928,90,61,97,72
-18132,96,-6952,90,61,97,73
-18092,200,-6920,90,61,97,72
-18172,272,-7040,90,62,97,72
-18164,332,-7108,90,61,97,72
-18260,360,-7048,90,61,97,72
-18140,288,-7168,90,61,97,72
-18280,420,-7396,90,61,97,72
-18216,416,-7292,90,61,97,71
-18272,492,-7416,90,61,97,71
-18308,560,-7292,90,61,97,72
-18460,536,-7352,90,61,97,72
-18500,528,-7536,90,60,97,71
-18556,492,-7392,90,60,96,71
-18584,376,-7520,89,60,96,71
-18680,308,-7516,90,60,96,72
-18728,224,-7448,89,61,96,72
-18660,132,-7380,89,62,96,71
-18760,72,-7320,89,61,96,71
-18984,148,-7316,89,60,96,71
-19144,72,-7484,89,60,95,71
-19260,116,-7448,88,60,95,71
-19660,144,-7440,89,60,95,71
-19544,168,-7576,88,60,95,71
-19904,308,-7740,88,60,95,71
-20064,272,-8020,87,61,94,71
-20256,404,-8124,87,60,94,71
-20496,376,-8512,87,61,94,71
-20668,396,-8476,87,61,93,71
-20788,532,-8832,86,61,93,71
-20884,628,-8692,86,62,92,71
-20692,636,-8936,86,62,92,71
-20616,544,-9080,85,63,91,71
-20464,316,-9196,85,64,91,70
-20256,-112,-9220,84,64,90,70
-20256,-396,-9160,83,63,90,69
-20464,-772,-8960,82,64,89,68
-20700,-972,-8708,82,64,88,68
-20984,-1100,-8576,81,64,87,68
-21100,-1244,-8124,80,64,86,68
-20976,-1520,-8100,79,64,85,67
-20956,-1568,-7972,78,65,85,66
-20592,-1732,-7708,77,64,84,65
-20076,-1988,-7572,76,64,83,65
-19716,-1936,-7228,74,63,82,63
-19292,-1828,-6880,73,63,81,63
-18948,-1808,-6392,73,62,80,63
-18796,-1324,-6224,72,63,79,62
-18416,-748,-6100,71,62,79,61
-18036,-416,-6348,71,62,78,61
-18384,-592,-6340,70,62,78,61
-18980,-740,-6740,70,62,78,60
-19460,-780,-6700,69,61,77,60
-19676,-452,-6908,69,61,78,58
-19980,-28,-7300,69,61,77,60
-20016,924,-7356,70,60,77,59
-20020,1816,-7548,70,60,78,59
-19836,2804,-7748,70,59,78,59
-19328,3404,-8268,70,58,78,61
-18696,3588,-8748,70,58,78,61
-17584,4012,-9284,70,58,78,62
-16348,4620,-9752,70,58,78,62
-15692,5172,-9712,70,59,78,61
-14628,5948,-9532,70,59,78,60
-13880,6356,-9312,70,60,78,61
-12780,6884,-9108,70,59,78,60
-11144,6792,-9536,70,59,78,60
-10076,6648,-10272,70,58,77,60
-8636,6536,-11588,70,59,77,60
-7160,6116,-13000,70,60,77,61
-6148,5844,-13900,70,59,77,62
-4968,5552,-14844,70,60,77,63
-4704,4348,-14852,71,60,77,63
-4976,3760,-14748,71,60,77,63
-5712,2988,-13868,71,62,77,64
-7164,2324,-13072,71,61,77,63
-7916,1836,-12732,70,61,77,63
-9496,1200,-12544,70,61,77,63
