x,y,z,s1,s2,s3,s4
-16628,1612,-6124,87,74,94,86
-16708,1624,-6224,87,74,94,87
-16712,1580,-6240,87,74,94,87
-16700,1576,-6316,87,75,94,87
-16612,1580,-6128,88,75,94,87
-16628,1632,-6340,88,75,94,87
-16840,1560,-6328,88,75,94,87
-16712,1604,-6392,88,75,94,87
-16732,1488,-6224,88,75,94,87
-16536,1500,-6240,88,75,94,87
-16524,1444,-6184,88,75,94,87
-16460,1484,-6188,88,75,94,87
-16504,1420,-6148,88,75,94,87
-16556,1356,-6044,88,75,94,87
-16472,1392,-6048,88,75,94,88
-16356,1192,-5908,88,75,94,87
-16184,1204,-5848,88,75,94,87
-16076,1156,-5876,88,75,94,87
-16144,1164,-5860,88,75,94,88
-16316,1044,-5896,88,75,94,87
-16416,1008,-5732,88,74,94,88
-16568,812,-5832,88,74,94,88
-16676,728,-5616,88,75,95,87
-16648,784,-5820,88,75,95,88
-16680,704,-5952,88,75,95,88
-16840,596,-6008,88,75,94,88
-16928,616,-6036,88,75,95,88
-17064,540,-6064,88,75,95,88
-16992,612,-6232,88,75,95,88
-16844,648,-6148,88,75,95,89
-16948,664,-6336,88,75,95,88
-17124,656,-6172,88,75,95,89
-17220,840,-6200,88,75,95,89
-17420,900,-6340,88,75,95,89
-17556,1032,-6400,88,76,95,90
-17720,1040,-6280,88,75,95,89
-18364,1020,-6348,88,76,95,89
-17952,1048,-6268,88,76,95,89
-17520,988,-6424,88,76,95,89
-17108,1076,-6224,88,76,95,90
-16904,1100,-6240,88,76,95,90
-16920,1416,-6288,88,76,95,90
-17176,1276,-6324,88,76,95,90
-17236,1344,-6292,88,75,95,90
-17368,1248,-6348,88,75,95,90
-17396,1384,-6328,88,75,95,90
-17588,1208,-6548,88,76,95,90
-17724,1244,-6364,88,76,95,90
-17804,1176,-6584,88,75,95,90
-17948,1144,-6628,88,75,95,90
-17872,1088,-6696,88,75,94,90
-17784,988,-6760,88,74,94,89
-17656,992,-6696,88,74,94,89
-17724,908,-6696,88,73,94,89
-17828,760,-6732,88,73,94,89
-17720,616,-6780,88,72,94,89
-17812,556,-6924,87,72,94,89
-17848,396,-7004,87,72,94,89
-17968,372,-7068,87,72,94,88
-18288,104,-7116,87,71,93,88
-18428,16,-7112,87,71,93,87
-18480,-40,-7168,87,70,93,87
-18612,4,-7072,87,71,93,87
-19024,-180,-7072,86,70,92,87
-18916,-224,-7044,86,70,92,86
-18504,-384,-7140,86,70,92,86
-18400,-428,-6808,86,70,92,86
-18636,-424,-7020,86,70,92,86
-18584,-176,-6592,85,70,91,85
-18648,-164,-6276,85,69,91,85
-19328,-304,-5920,84,70,91,84
-19852,-260,-5856,84,70,90,84
-19908,-300,-5616,84,69,90,84
-20036,-372,-5380,83,70,89,83
-20228,-492,-5348,82,69,88,82
-21040,-256,-5028,82,70,87,81
-21340,-452,-5248,81,69,87,80
-20884,-752,-4888,81,69,86,79
-19856,-924,-4908,80,70,86,79
-18952,-1308,-4596,80,69,85,78
-18856,-1412,-4008,79,69,85,77
-18348,-1568,-3840,79,69,84,77
-18528,-1516,-2756,78,69,84,76
-18180,-964,-1876,77,69,83,75
-19468,-248,-1144,77,69,83,75
-19300,-244,-812,76,69,82,74
-18112,-508,-964,75,67,82,74
-17800,-844,-592,75,69,81,72
-18236,-680,-436,75,68,81,72
-18728,-752,-484,74,68,80,72
-19604,-1260,-512,74,69,80,72
-19564,-1276,-1064,73,68,79,71
-18480,-1652,-1516,72,68,78,71
-16852,-2560,-1896,72,68,78,70
-14664,-3152,-2316,72,68,78,70
-15900,-3248,-2156,71,68,77,70
-17052,-2812,-1464,71,69,77,71
-18108,-3076,0,70,67,77,71
-19316,-2760,1368,70,67,77,72
-22896,-2708,4476,69,67,76,71
-25200,-2724,7496,70,66,76,71
-25820,-3152,9300,69,66,76,72
-26660,-3248,11428,69,66,76,73
-27492,-2852,12436,70,65,76,73
-28120,-2840,12532,70,65,76,73
-28584,-2848,11912,70,66,77,72
-26540,-2952,11168,70,67,76,71
-24452,-3208,10060,70,67,76,72
-23596,-3356,9784,70,67,76,71
-22620,-2956,9708,70,67,77,71
-21196,-3072,9320,70,67,76,71
-20284,-3180,8792,70,67,77,71
-19560,-2852,8688,70,68,76,72
-19840,-2800,8112,70,67,76,73
-20456,-3188,7464,70,68,76,73
-21696,-3784,6908,70,68,76,73
-22140,-3972,6504,70,68,76,73
-21764,-4024,5784,70,69,76,73
-21448,-4220,4976,70,68,76,73
-20532,-4308,4304,70,68,76,73
-18556,-4552,3364,70,68,76,73
-16488,-4504,2608,70,68,76,74
-15380,-4412,2236,70,68,76,73
-14688,-4348,1592,70,68,76,74
-14320,-4324,1292,70,68,76,73
-13728,-4236,940,70,67,76,72
-13140,-3868,740,70,67,76,72
-12840,-3852,568,70,67,76,72
-12312,-3472,312,70,67,76,72
-11788,-3340,428,70,67,76,71
-12016,-3224,376,70,68,76,71
-11932,-2896,468,70,67,76,71
-9564,-2724,280,70,67,76,71
-8684,-2660,388,70,67,76,71
-7568,-2784,312,70,67,76,70
-7064,-2856,164,70,67,76,70
-6380,-2996,68,70,67,76,71
-6072,-3152,-92,70,67,76,71
-5868,-3248,-396,70,66,76,70
-5800,-3156,-428,70,67,76,70
-6156,-3472,-396,70,67,76,71
-6380,-3560,-592,70,67,76,71
-6996,-3864,-588,70,67,76,71
-7192,-4032,-752,70,67,76,72
-7332,-4460,-1100,70,67,76,72
-7764,-4420,-1328,70,67,76,72
-7984,-4736,-1576,70,67,76,71
-8228,-4964,-1780,70,67,76,70
-8192,-5156,-1984,70,67,76,71
-8016,-5176,-2152,70,66,76,71
-8152,-5204,-1884,70,66,76,70
-8060,-5040,-2092,70,67,76,70
-8396,-4952,-1988,70,66,75,70
-8712,-4684,-1872,70,67,76,69
-8956,-4400,-1952,70,67,76,69
-9360,-4152,-1972,70,67,75,70
-9900,-3856,-2004,70,67,76,71
-10188,-3652,-2076,70,67,76,71
-10396,-3452,-2064,70,67,75,70
-10444,-3316,-2292,70,66,75,70
-10548,-3112,-2476,70,67,75,71
-10720,-3164,-2368,70,67,75,71
-10796,-3260,-2404,70,67,75,71
-11152,-3476,-2348,70,67,75,70
-11448,-3532,-2196,70,67,75,70
-11804,-3700,-1956,70,67,75,70
-12296,-3996,-1888,70,67,75,70
-12528,-4176,-1724,70,67,75,70
-12668,-4244,-1472,70,67,75,70
-12956,-4448,-1484,70,67,75,70
-13400,-4708,-1252,70,67,75,69
-13716,-4868,-1392,70,67,75,70
-13780,-4952,-1296,70,67,75,70
-13716,-5032,-1408,70,67,75,70
-13888,-5036,-1264,69,67,74,70
-14240,-5032,-1176,70,67,74,70
-14368,-4924,-1512,69,67,75,70
-14500,-4732,-1284,69,68,74,70
-14624,-4524,-1364,70,67,74,70
-14828,-4224,-1404,69,67,74,70
-15156,-3792,-1496,69,67,74,70
-15560,-3464,-1812,69,68,74,70
-16064,-2836,-1904,69,67,74,70
-16488,-2632,-2180,69,66,74,71
-16744,-2072,-2516,69,66,74,70
-17288,-1540,-2584,69,66,74,70
-17492,-1208,-2896,69,67,74,70
-17724,-952,-3176,69,67,74,70
-17872,-588,-3168,69,67,74,70
-17908,-324,-3312,69,66,74,70
-18012,68,-3420,69,67,74,69
-17836,264,-3468,69,66,74,70
-17792,380,-3532,69,67,74,70
-17736,764,-3716,69,67,74,70
-17648,984,-3656,69,67,74,70
-17392,1380,-3884,69,67,74,69
-17100,1532,-3888,69,67,74,69
-16900,1808,-3896,69,67,73,69
-16496,2340,-4048,69,67,73,69
-16136,2716,-4128,69,67,73,70
-15972,3152,-4052,69,67,73,70
-15672,3704,-4340,69,67,73,70
-15616,4008,-4308,69,67,73,70
-15632,4468,-4508,69,67,73,70
-15556,5096,-4472,68,67,73,69
-15540,5228,-4548,68,67,73,70
-15612,5812,-4692,68,67,73,70
-15628,5980,-4832,68,67,73,70
-15720,6576,-4816,68,67,73,70
-16920,6676,-4856,68,67,73,70
,,,,,,
,,,,,,
-15940,980,-6036,84,76,91,84
-16076,864,-5964,85,76,91,83
-16200,804,-5880,84,76,91,83
-16380,680,-5868,85,76,90,83
-16392,680,-5964,84,76,91,83
-16492,440,-5964,85,76,91,83
-16312,548,-5900,84,76,90,83
-16496,496,-5736,85,76,90,83
-16356,472,-5860,84,76,91,83
-16600,328,-5788,85,76,91,84
-16492,216,-5788,85,76,91,84
-16560,348,-5876,85,76,91,84
-16440,364,-5848,85,76,91,84
-16496,260,-6000,85,76,91,84
-16512,380,-5920,85,76,91,83
-16436,316,-5924,84,76,91,84
-16496,192,-5952,84,76,91,84
-16436,312,-6160,85,76,91,84
-16516,316,-5988,85,76,91,84
-16400,216,-6184,85,76,91,84
-16472,284,-5956,85,76,91,84
-16548,288,-6124,85,76,91,83
-16540,340,-6152,85,76,91,84
-16572,368,-6260,85,76,91,84
-16492,416,-6228,85,76,91,84
-16432,432,-6044,85,76,91,84
-16560,648,-6308,85,75,91,84
-16540,696,-6212,84,75,91,84
-16504,884,-6024,85,76,91,84
-16428,916,-6148,85,76,91,84
-16476,1000,-6320,85,76,90,84
-16456,1272,-6108,85,76,91,84
-16472,1352,-6200,85,76,91,84
-16408,1340,-6076,85,76,91,84
-16452,1360,-5892,85,76,91,84
-16444,1436,-6232,85,76,91,84
-16540,1312,-6076,85,76,91,84
-16436,1376,-6056,85,76,91,84
-16480,1436,-6060,85,76,91,84
-16392,1316,-5972,85,76,91,84
-16508,1312,-6040,84,76,91,84
-16500,1292,-6180,85,76,91,84
-16316,1204,-5892,85,76,91,84
-16408,1048,-5888,85,76,91,84
-16452,1056,-5848,84,76,91,84
-16484,952,-5924,84,76,91,84
-16416,768,-6004,85,76,91,84
-16440,700,-6016,85,76,91,84
-16464,756,-5980,85,76,91,84
-16348,504,-6132,84,76,91,85
-16252,332,-6492,85,76,91,84
-16136,120,-6744,85,76,91,84
-15972,-64,-7172,85,76,91,84
-15728,-220,-7628,85,76,91,85
-15764,-332,-8076,85,76,91,84
-16180,-284,-8356,85,76,91,85
-16192,-384,-8596,85,76,91,84
-16556,-248,-8940,85,76,91,85
-16936,12,-8908,85,76,91,85
-17244,168,-8836,84,76,91,85
-17080,492,-8664,85,76,91,85
-16952,516,-8596,85,77,91,85
-16972,596,-8376,85,77,91,85
-16860,924,-8032,84,76,91,85
-16852,1080,-7884,85,76,91,85
-17160,1336,-7980,85,76,91,85
-17284,1512,-7648,85,76,91,85
-17456,1884,-7780,85,76,91,85
-18072,2276,-7676,85,76,91,85
-18544,2716,-8012,85,76,91,85
-19012,3156,-8436,85,76,91,84
-19168,3448,-8728,85,76,91,85
-19316,3916,-9280,85,75,91,84
-19124,4140,-10076,84,75,91,84
-18756,4068,-10580,84,74,91,82
-18160,4028,-11116,84,74,91,82
-17884,3572,-11792,84,74,91,81
-18236,3080,-11848,84,73,91,80
-18312,2700,-12040,84,72,91,79
-19008,2068,-11696,84,71,91,77
-19512,1388,-11184,84,71,91,76
-19960,492,-10436,84,69,91,75
-19992,-284,-10000,84,69,91,73
-19968,-1808,-9528,84,69,91,72
-20552,-4116,-8952,84,68,91,70
-20968,-5768,-8616,84,68,90,70
-21624,-8180,-8456,84,66,91,68
-22776,-10536,-8180,84,66,91,67
-24216,-12432,-8660,84,65,90,67
-26164,-13516,-8796,84,65,90,67
-28056,-15028,-9416,84,65,90,67
-28836,-16200,-10344,84,65,90,69
-26700,-17864,-11760,84,65,90,70
-25284,-17924,-12148,84,65,90,69
-25452,-18900,-11916,84,65,90,68
-24536,-18788,-11796,83,64,89,67
-21496,-18588,-12168,82,65,88,67
-19924,-17792,-11748,82,65,87,66
-19972,-15012,-10332,80,65,86,68
-21380,-10608,-8724,79,64,84,67
-22292,-6440,-7276,78,64,82,68
-26876,-2060,-5224,76,64,81,67
-27960,2384,-4440,75,63,80,67
-27492,5664,-4108,74,64,79,68
-26504,8448,-3228,73,64,78,68
-25144,8864,-2376,71,64,77,69
-25520,10328,-772,69,64,76,69
-27744,10684,2068,68,64,75,70
-31948,10564,5264,68,65,75,71
-32768,8060,9712,67,65,75,70
-29836,6784,11732,68,63,75,71
-20476,3664,11904,68,64,75,70
-16720,1476,11008,68,64,75,70
-19348,-728,10120,68,64,75,70
