x,y,z,s1,s2,s3,s4
-15904,952,-4168,55,47,65,48
-15852,1104,-4384,55,47,65,48
-15656,864,-4244,55,47,65,48
-15596,836,-4272,55,47,65,48
-15488,688,-4232,54,48,65,48
-15416,664,-4176,55,47,65,49
-15232,512,-4064,55,48,65,48
-15116,448,-4056,55,47,65,48
-15232,312,-4156,55,47,65,48
-15256,340,-4172,54,47,65,49
-15256,308,-4200,55,48,65,50
-15416,268,-4216,55,48,65,50
-15376,272,-4348,55,48,65,50
-15176,36,-4328,55,48,65,50
-15284,44,-4484,55,47,65,51
-15084,224,-4416,55,48,65,50
-15036,296,-4612,55,47,65,50
-15348,528,-4536,55,48,65,51
-15296,620,-4624,55,48,65,51
-15512,780,-4880,55,48,65,51
-15588,756,-5144,55,48,65,52
-15520,856,-5336,55,47,65,52
-15488,1060,-5352,55,48,65,52
-15424,1332,-5168,55,48,65,52
-15324,1500,-5020,55,49,65,53
-15148,1604,-4896,55,49,65,53
-15092,1720,-4664,55,48,65,53
-15140,1744,-4480,55,49,65,54
-15388,1896,-4736,55,49,65,54
-15632,2056,-4772,55,49,65,54
-15828,1944,-4844,54,50,65,55
-16044,2024,-4876,55,50,65,54
-15940,2276,-4840,55,49,65,54
-15912,2200,-4992,55,49,64,55
-15700,2012,-4844,55,49,65,56
-15500,1736,-4652,54,50,65,55
-15256,1704,-4504,54,49,64,55
-14968,1372,-4228,55,51,65,55
-14712,1496,-4004,54,50,65,57
-14984,1284,-3852,54,51,65,56
-15132,1316,-3860,54,51,65,56
-15468,1356,-3852,55,51,65,57
-15552,1216,-3996,54,51,65,58
-15716,1292,-4292,55,52,65,56
-15608,1164,-4332,54,52,65,58
-15656,1212,-4448,54,51,65,58
-15352,1240,-4480,54,52,65,59
-15240,1112,-4420,54,52,65,58
-15084,1124,-4520,54,52,65,59
-14800,900,-4652,54,53,65,59
-14716,760,-4708,55,53,65,59
-14832,668,-4720,54,53,65,58
-14728,688,-4540,55,53,65,60
-15120,696,-4624,54,54,65,60
-15256,488,-4796,54,52,65,59
-15632,388,-4668,54,54,65,61
-15816,296,-4692,55,53,65,60
-16112,544,-4520,54,54,65,60
-16116,776,-4480,54,53,65,60
-16272,840,-4388,54,54,65,60
-16272,972,-4116,54,54,65,60
-16292,1164,-4092,54,54,65,60
-16204,1204,-4124,54,55,65,61
-16220,1320,-4084,55,54,65,61
-16292,1308,-4068,55,54,65,61
-16280,1436,-3788,55,54,65,60
-16316,1536,-3824,54,55,65,61
-16152,1444,-3844,54,54,65,61
-16212,1348,-3696,54,54,65,61
-16096,1424,-3804,54,55,65,61
-16168,1376,-3880,54,55,65,61
-16120,1368,-3780,54,55,65,61
-15996,1396,-4064,54,55,64,62
-15808,1144,-3936,54,55,64,62
-15816,1048,-4184,54,55,64,62
-16052,892,-4120,54,57,65,62
-16160,664,-4340,54,56,64,62
-16248,596,-4284,54,56,65,61
-16380,432,-4468,53,56,64,60
-16596,212,-4300,53,56,64,61
-16812,192,-4544,54,55,64,61
-16864,68,-4348,53,56,64,61
-17132,80,-4492,53,56,64,61
-17164,128,-4468,52,56,63,61
-17276,52,-4396,52,56,63,61
-17400,52,-4308,52,56,63,61
-17428,192,-4232,52,56,63,61
-17452,180,-4076,51,56,62,60
-17520,252,-4032,51,56,62,61
-17356,272,-3760,51,56,62,62
-17384,324,-3760,51,56,61,61
-17492,356,-3424,50,56,62,60
-17496,304,-3420,50,56,61,61
-17660,468,-3212,50,56,61,61
-17800,424,-3184,50,56,60,61
-17928,316,-3364,49,57,60,61
-17652,568,-3068,49,56,60,60
-17440,404,-3160,49,56,60,60
-17216,660,-3308,48,56,60,60
-16912,684,-3164,48,56,59,59
-16488,884,-2720,48,56,59,59
-16304,1052,-2364,48,56,59,58
-16176,1244,-1864,47,55,59,57
-16240,1164,-1108,47,54,58,56
-16652,1288,-480,47,54,58,55
-17192,1184,356,46,54,57,54
-17616,1328,976,46,54,57,53
-18304,1296,1656,46,53,57,53
-18584,1288,2132,46,53,57,52
-18428,1292,2364,46,52,57,50
-18104,1340,2388,46,51,56,50
-17104,1068,2596,46,50,56,48
-16320,1172,2892,46,50,56,47
-15120,1584,3064,45,50,56,45
-14480,1692,3524,45,48,56,45
-13856,1900,3888,45,49,56,45
-13632,2156,4452,45,48,56,45
-13768,2524,4476,45,48,55,46
-14140,2884,4116,44,49,55,45
-14536,3132,3656,44,47,55,44
-15492,3132,3144,45,47,55,44
-16084,3216,2904,45,46,54,45
-17040,2756,2580,45,46,54,45
-17404,2416,2088,44,45,54,45
-17600,1964,1036,44,44,54,45
-17028,1272,-376,44,43,54,45
-16456,1096,-964,44,43,54,46
-15960,752,-1188,44,43,54,46
-15816,-44,-516,44,43,54,45
-15892,-1076,2068,44,43,54,44
-16436,-2092,4964,44,43,53,44
-17780,-4092,10400,43,43,53,44
-19776,-5832,15548,43,44,53,44
-21068,-6580,18192,43,45,52,45
-23064,-6876,20244,43,44,52,45
-24976,-6484,20348,43,44,51,44
-26296,-5852,19472,42,45,52,45
-27044,-5572,18520,42,45,52,45
-27492,-5336,17016,41,45,51,45
-27048,-5668,15900,41,45,51,45
-26256,-6232,15164,41,45,52,46
-24856,-7080,13972,41,45,52,45
-22948,-7904,13084,42,44,51,45
-21092,-8384,11976,41,45,51,46
-20300,-8388,11540,41,44,51,46
-19236,-8136,10716,41,44,51,46
-19036,-7672,10560,41,45,51,46
-18852,-7252,10468,42,44,51,46
-19504,-7572,11192,42,44,51,46
-20620,-6456,10484,41,44,51,46
-20336,-5592,10704,42,44,51,46
-20312,-5048,10980,42,44,51,46
-19760,-3848,11036,42,44,51,46
-19352,-2768,11328,42,44,51,46
-18992,-1872,11320,42,44,50,46
-18580,-1388,11204,42,44,51,46
-18012,-532,10980,42,43,51,46
-17616,-4,10580,41,44,51,46
-16852,440,10164,42,43,51,45
-15516,608,9728,42,43,51,46
-15360,68,9248,42,43,51,46
-15084,1060,8772,42,44,50,45
-15116,740,8520,42,44,50,46
-15564,412,7904,42,43,50,46
-14732,876,7332,42,43,51,46
-14276,1040,6928,42,44,51,46
-14448,1480,6800,42,43,51,46
-15260,1808,7080,42,43,50,46
-15464,1940,6904,42,44,50,46
-15268,1860,6500,41,43,50,46
-15116,2164,6104,42,43,51,45
-14844,2476,5780,42,43,50,46
-14840,2352,5576,42,42,51,47
-14020,2540,5160,42,43,50,46
-13404,2604,5164,42,43,51,46
-13004,2816,5048,42,43,51,46
-12832,3120,4900,42,43,50,46
-12952,3196,4996,42,43,50,46
-13116,3452,4628,42,43,50,46
-13048,3504,4588,42,43,50,46
-13004,3648,4356,42,42,50,46
-12768,3628,4088,42,42,51,47
-12348,3620,3696,42,43,50,46
-12352,3620,3608,41,43,49,47
-12660,3552,3408,42,43,50,47
-12584,3596,3168,41,43,50,47
-12476,3652,2864,42,43,50,46
-12208,3456,2764,42,43,50,47
-12044,3536,2528,41,42,50,47
-11420,3524,2372,41,42,50,46
-10948,3236,2184,41,42,50,46
-10236,2920,1960,41,42,50,46
-10076,2840,1892,41,43,50,46
-10212,2512,1804,41,43,50,46
-10532,2428,1876,41,42,50,45
-10896,2216,1532,41,42,49,46
-11732,1816,1504,41,42,49,46
-11864,1876,1016,41,41,50,46
-11220,2160,700,41,43,50,47
-10976,2240,416,41,42,50,46
-10652,2188,332,41,41,49,46
-10880,2196,424,41,42,49,45
-11224,1924,332,41,42,49,46
-11496,1784,124,41,42,49,45
-11752,1616,56,41,41,49,45
-11656,1660,-220,41,42,49,46
-11432,1792,-572,41,43,49,46
-11056,2116,-592,41,42,49,46
-11080,2148,-756,40,42,49,46
-11244,1976,-672,41,42,49,45
-11324,2080,-936,40,41,49,45
-11476,2024,-1276,41,43,49,47
-11424,1960,-1332,41,42,49,46
-11420,2072,-1512,41,41,49,45
-11608,2048,-1772,41,42,49,46
-11256,2184,-2124,41,42,49,45
-10824,2008,-2276,41,42,48,45
-10764,1980,-2292,41,41,48,45
-10812,2104,-2292,40,42,49,45
-10908,2016,-2264,41,42,49,45
-10904,2012,-2520,41,43,49,45
-10520,2020,-2328,41,41,48,46
-10024,1980,-2412,40,42,48,45
-9936,1696,-2236,41,41,48,45
,,,,,,
,,,,,,
-12956,-1472,7476,40,47,49,51
-12756,-1412,7404,39,46,49,52
-12288,-1296,7364,39,47,49,52
-11660,-1256,7148,40,45,49,51
-11256,-1212,6972,40,44,49,51
-10868,-1280,6888,39,44,49,50
-10552,-1536,6372,40,45,49,50
-10688,-2032,6860,39,44,49,49
-11216,-2852,8144,39,45,49,49
-12004,-3420,9572,40,45,49,49
-13532,-4364,12272,40,45,49,48
-15228,-5336,15084,40,45,49,49
-16140,-5692,16560,40,45,49,49
-17292,-6152,18368,40,45,49,49
-17996,-6424,19264,40,45,49,49
-18852,-6832,19580,40,46,49,50
-19352,-7080,19240,40,45,49,50
-20220,-7636,18748,40,46,49,50
-21044,-8160,17708,40,47,49,50
-21500,-8540,16880,40,46,49,50
-21568,-8832,15568,40,46,49,48
-20864,-8968,14680,40,47,49,50
-19796,-8800,13672,40,46,49,50
-18544,-8540,13124,40,46,49,51
-16584,-7868,12804,40,46,48,50
-15084,-7288,12764,40,46,48,51
-14084,-6608,12772,40,46,48,51
-13540,-6264,12996,40,46,49,50
-13584,-6180,13208,40,46,49,50
-14092,-6456,13652,40,46,48,51
-14484,-6476,13936,40,46,48,51
-14848,-6484,14140,40,45,48,50
-15176,-6712,14408,40,45,48,49
-16456,-6304,14776,40,45,48,51
-16152,-5872,14508,40,45,48,50
-17304,-6492,14316,40,45,48,51
-13696,-6052,12864,40,46,48,50
-13660,-5356,12732,40,45,48,50
-14004,-4884,12660,40,45,47,51
-15020,-4776,12604,40,46,48,50
-14324,-4372,11748,40,45,48,51
-14696,-4256,11452,40,45,48,51
-14892,-3784,10880,40,46,48,50
-12944,-3044,10080,40,45,48,50
-13904,-3108,9716,39,45,48,51
-13336,-2164,9912,40,45,48,51
-13052,-1876,9760,40,45,48,51
-12932,-1756,9404,40,45,48,51
-12520,-1748,9056,40,45,48,51
-13212,-1584,9076,40,45,48,51
-13376,-1548,8680,39,44,48,50
-13492,-1684,8136,40,46,48,51
-12984,-1856,7560,40,45,48,50
-12828,-1744,7264,40,45,48,50
-12596,-1692,6980,39,45,49,50
-12420,-1668,6496,39,45,49,50
-12332,-1548,6220,40,44,48,50
-12036,-1352,5784,40,45,48,50
-12116,-1332,5536,40,45,48,50
-12304,-1452,5316,40,45,48,50
-12536,-1616,5024,40,45,47,49
-12508,-1668,4888,39,45,48,50
-12692,-1724,4564,39,45,48,50
-12752,-1784,4372,39,45,47,50
-12404,-1780,4124,39,44,47,50
-12440,-1820,4036,39,44,48,49
-12348,-1932,3696,39,45,48,49
-12476,-2096,3492,39,44,48,49
-12488,-2364,3188,39,44,47,49
-12440,-2384,2936,39,44,47,49
-12540,-2456,2600,40,44,47,49
-12992,-2556,2272,40,45,48,49
-13124,-2688,2172,39,45,47,49
-13480,-2820,1888,39,44,47,50
-13468,-3064,1520,39,44,47,49
-13600,-3144,1264,39,44,47,48
-13688,-3216,1040,39,44,47,47
-13804,-3212,868,39,45,47,48
-13744,-3160,784,39,44,47,49
-13948,-3112,540,39,43,47,49
-14052,-3160,444,39,43,46,49
-14096,-3088,168,39,43,46,49
-14324,-3092,216,39,43,46,48
-14560,-2816,-12,39,44,47,48
-14776,-2516,56,39,43,47,48
-14888,-2312,-92,39,43,47,48
-15048,-2172,-244,39,43,47,48
-15284,-1860,-284,39,44,46,47
-15428,-1400,-284,39,43,46,48
-15460,-1080,-308,39,43,46,47
-15176,-476,-392,39,44,46,48
-14916,-156,-324,39,43,46,48
-14904,108,-388,39,42,47,47
-14832,412,-388,39,43,46,48
-14824,640,-388,39,43,47,48
-14812,900,-192,39,43,47,48
-14960,1168,-200,39,43,46,47
-14796,1400,-92,39,43,46,48
-14804,1516,-276,39,43,46,47
-14884,1580,-344,39,42,46,47
-14880,1732,-300,39,43,46,47
-15320,1728,-136,39,43,46,47
-14960,1892,-292,39,42,46,47
-14004,2140,-616,39,42,46,47
-13512,2028,-584,39,43,46,48
-13468,2040,-356,39,43,46,47
-13536,2084,-428,39,42,46,47
-13896,1956,-572,39,42,45,46
-14568,1656,-316,39,42,45,47
-12584,2380,-996,39,42,45,46
-10976,2184,-1152,39,42,45,47
-11292,2232,-1068,39,42,46,47
-11860,2208,-792,39,43,46,46
-12272,2060,-876,39,42,45,46
-12504,2132,-956,39,42,45,46
-12580,2028,-1144,39,41,45,46
-12328,2164,-1224,39,42,46,47
-12152,2268,-1356,39,42,45,46
-12108,2440,-1352,39,43,46,47
-12024,2508,-1376,39,43,45,47
-11920,2556,-1436,39,42,45,46
-11832,2672,-1648,39,43,45,46
-11676,2700,-1756,39,42,45,46
-11692,2824,-1756,39,42,45,47
-11588,2888,-1940,39,43,44,46
-11324,3188,-2268,39,43,45,46
-11432,3416,-2340,39,42,46,46
-11156,3468,-2352,38,42,45,45
-10880,3544,-2524,38,42,44,46
-10684,3752,-2788,38,43,45,46
-10528,3888,-3060,38,42,45,46
-10344,3880,-3172,38,43,45,46
-10224,3772,-3320,39,42,44,46
-9960,3912,-3648,38,42,45,46
-9900,3700,-3924,38,41,45,46
-9860,3800,-4332,38,42,45,45
-9680,3532,-4612,37,42,45,46
-9716,3532,-4736,38,41,45,46
-9704,3608,-5144,38,42,44,46
-9600,3612,-5324,38,42,44,46
-9600,3692,-5708,37,41,45,45
-9688,3812,-5944,38,41,45,45
-9900,3736,-6536,38,43,44,46
-9936,3712,-7104,37,42,45,46
-9968,3764,-7564,37,41,44,46
-10036,3524,-7960,38,42,45,46
-9844,3216,-8232,36,41,44,45
-9848,2652,-8616,37,42,44,45
-9940,2376,-8928,36,41,44,45
-10148,1816,-9468,37,41,44,46
-10448,1156,-9948,36,40,43,45
-10348,708,-10128,36,41,43,47
-8220,828,-9784,35,40,43,47
-7440,252,-9668,35,40,43,48
-6576,600,-6784,35,41,42,49
-4452,960,-3968,35,42,42,50
-1172,572,-580,35,41,42,51
820,316,800,34,42,41,50
1808,-888,-232,34,40,41,50
-244,-6960,-4196,34,40,42,49
-5432,-11976,-7008,33,40,41,50
-14616,-17228,-8952,33,40,42,52
-22756,-18676,-9580,34,42,42,51
-26948,-18324,-8876,34,43,42,52
-30012,-15016,-5160,34,43,42,52
-27404,-10916,-264,34,44,42,53
-21364,-6640,4376,34,45,42,53
-18000,-3744,7228,34,46,43,53
-15276,-516,9184,34,47,42,55
-15500,-104,8376,34,47,42,56
-16668,-952,6860,34,48,42,58
-18532,-3148,3412,34,49,42,58
-19536,-4388,1128,34,50,42,58
