x,y,z,s1,s2,s3,s4
-15184,1152,-5480,58,51,67,56
-14988,1116,-5340,58,50,67,56
-15020,1036,-5428,58,50,68,56
-14852,1068,-5352,58,50,68,56
-14732,1000,-5428,58,50,68,56
-14716,1004,-5232,58,50,68,55
-14792,916,-5248,58,50,68,55
-14996,788,-4992,58,49,68,55
-15312,584,-5036,58,49,68,55
-15448,300,-4912,58,49,68,55
-15544,-136,-4708,58,49,68,54
-15516,-348,-4764,59,48,68,54
-15340,-568,-4880,59,48,68,54
-15288,-712,-4896,59,47,68,54
-15148,-952,-4848,59,47,68,53
-14976,-1080,-5044,59,47,68,53
-14860,-944,-5164,59,46,68,53
-15148,-828,-5004,59,46,68,52
-15372,-800,-5096,59,46,69,52
-15668,-748,-5124,59,45,68,51
-16088,-548,-5148,59,45,69,51
-16208,-556,-5372,59,44,69,51
-16248,-548,-5456,60,44,69,51
-16472,-432,-5656,60,44,69,50
-16200,-328,-5784,60,43,69,50
-16048,-56,-5728,60,43,69,50
-15768,-60,-5860,60,43,69,49
-15564,112,-5856,60,43,69,49
-15632,384,-5948,60,43,69,48
-15648,520,-5864,60,43,69,48
-15484,728,-5764,60,43,69,47
-15544,980,-5800,60,43,69,47
-15652,1224,-5848,60,42,69,47
-15528,1408,-5392,60,42,69,46
-15524,1564,-5496,60,41,69,46
-15784,1616,-5368,60,42,69,47
-16068,1600,-5252,60,41,69,46
-16248,1700,-5164,60,41,69,46
-16396,1644,-5084,60,41,69,46
-16372,1776,-5172,60,42,69,45
-16556,1744,-5232,60,41,69,46
-16416,1732,-5232,60,41,70,46
-16280,1592,-5492,60,41,69,46
-16052,1636,-5676,60,41,69,46
-15784,1428,-5944,60,40,70,46
-15712,1356,-6016,60,41,69,45
-15872,1116,-6300,60,41,69,45
-15636,1056,-6516,60,41,69,46
-15840,944,-6620,60,41,69,46
-16140,740,-6716,60,40,69,46
-16284,624,-6892,60,40,69,46
-16528,492,-6996,60,41,70,46
-16712,464,-7072,60,40,69,46
-16704,284,-7328,60,40,70,46
-16888,172,-7456,60,40,69,46
-17180,36,-7572,60,40,70,46
-17372,188,-7668,60,40,70,46
-17344,216,-7740,60,40,70,46
-17504,-56,-7840,60,40,69,46
-17632,0,-7920,60,40,69,46
-17976,180,-7904,60,40,70,46
-18112,72,-7820,60,40,69,47
-18420,148,-7904,60,39,69,47
-18692,268,-7752,60,40,69,46
-19044,128,-7764,60,39,69,46
-19016,172,-7744,60,39,69,47
-19016,108,-7680,60,39,69,47
-18884,192,-7632,59,39,69,47
-18980,368,-7532,60,39,69,47
