x,y,z,s1,s2,s3,s4
-15228,-1484,-4828,55,47,64,55
-15300,-1528,-4964,56,47,64,55
-15432,-1528,-5116,56,47,64,55
-15452,-1504,-5224,56,47,64,55
-15560,-1412,-5168,55,46,64,54
-15632,-1520,-5336,56,46,64,55
-15704,-1420,-5260,56,46,64,55
-15684,-1520,-5512,56,46,64,55
-15628,-1364,-5560,56,47,65,55
-15768,-1444,-5484,56,46,64,54
-15788,-1388,-5664,55,46,64,55
-15824,-1424,-5360,56,46,64,53
-15808,-1340,-5728,56,47,64,54
-16024,-1144,-5700,56,47,64,55
-16048,-1136,-5596,56,47,64,53
-16032,-1224,-5596,56,46,64,54
-16064,-1144,-5572,56,46,65,54
-16132,-1068,-5656,56,46,64,54
-16108,-1096,-5616,56,47,64,54
-15976,-1000,-5576,56,46,64,55
-15788,-1032,-5384,56,47,65,54
-15752,-1112,-5592,56,46,64,53
-15660,-1260,-5400,55,46,64,53
-15740,-1292,-5336,55,45,64,53
-15608,-1528,-5580,56,46,64,54
-15724,-1500,-5528,56,45,64,53
-15728,-1536,-5668,56,45,64,53
-15668,-1644,-5812,56,46,64,54
-15856,-1592,-6004,56,44,65,53
-15984,-1668,-6188,56,45,64,53
-16108,-1596,-6300,56,46,64,53
-16160,-1644,-6356,56,45,64,53
-16452,-1540,-6296,56,45,64,53
-16508,-1532,-6336,56,44,64,53
-16768,-1600,-6336,56,44,65,52
-16860,-1440,-6252,56,44,64,52
-16840,-1332,-6180,56,43,64,52
-16892,-1296,-6220,56,44,64,52
-16916,-1304,-5976,56,43,64,53
-16696,-1212,-6132,56,44,64,52
-16644,-1168,-6184,55,43,64,51
-16612,-1152,-6128,56,43,64,51
-16736,-1176,-6140,56,44,64,52
-16728,-1236,-6304,56,43,64,51
-16584,-1192,-6256,55,43,64,52
-16520,-1212,-6380,55,43,64,51
-16476,-1352,-6376,55,42,64,51
-16548,-1336,-6288,55,42,64,50
-16280,-1320,-6444,55,43,64,52
-16040,-1184,-6292,55,43,64,51
-15896,-1268,-6148,55,43,63,51
-15992,-1228,-5880,54,43,63,51
-15932,-1112,-5988,55,43,63,51
-15908,-1184,-5784,54,42,63,51
-16088,-1272,-5552,54,43,63,51
-16228,-1252,-5392,54,43,63,51
-16328,-1268,-5384,54,42,63,51
-16568,-1120,-5420,54,43,63,51
-16692,-1144,-5284,54,43,62,51
-16416,-1092,-5128,53,43,63,51
-16400,-928,-5340,54,42,63,52
-16516,-1084,-5124,53,43,62,52
-16388,-1164,-4900,53,42,62,51
-16324,-1124,-4860,53,43,62,51
-16308,-1164,-4792,53,43,61,52
-16284,-1104,-4544,52,43,61,52
-16084,-1072,-4352,53,43,61,51
-15808,-1036,-4144,52,43,61,52
-15632,-1072,-3932,52,44,61,52
-15548,-904,-3716,52,45,61,52
-15424,-864,-3340,52,45,60,53
-15496,-812,-3172,51,44,60,52
-15452,-776,-3012,50,44,60,52
-15512,-612,-2536,51,45,60,54
-15444,-508,-2624,50,45,59,53
-15456,-532,-2316,49,45,60,53
-15544,-440,-2396,48,45,59,53
-15560,-292,-2292,49,45,58,53
-15656,-348,-2256,48,44,58,53
-15828,-464,-2248,48,46,58,54
-16000,-704,-2528,48,45,57,54
-16348,-788,-2436,47,45,57,54
-16424,-1128,-2736,47,45,57,54
-16692,-1364,-2680,47,45,56,54
-17020,-1756,-3108,47,46,56,54
-17148,-2180,-3208,46,46,55,54
-17608,-2600,-3332,46,46,55,54
-17836,-3052,-3412,46,47,54,54
-18232,-3340,-3608,45,46,54,53
-18440,-3516,-3932,45,46,53,54
-18620,-3416,-4132,44,45,52,54
-19008,-3132,-4184,44,45,52,54
-18932,-2872,-4244,44,46,52,54
-18948,-2580,-4404,44,46,52,54
-18992,-2440,-4456,43,46,52,54
-18592,-1772,-4460,43,46,51,53
-18228,-1480,-4468,43,45,52,53
-18100,-1184,-4388,43,46,52,53
-17860,-760,-4776,43,45,52,53
-17892,-376,-4808,43,46,51,52
-18228,-368,-5048,43,46,51,51
-18876,-28,-5180,43,47,52,52
-19900,-28,-5436,43,45,51,51
-20332,136,-5432,43,45,51,50
-21000,552,-5168,43,45,51,49
-21040,796,-4864,43,45,51,49
-20892,1368,-4264,42,45,51,49
-20704,1672,-4192,43,44,50,47
-20392,2424,-4048,43,44,51,47
-20164,3000,-4196,42,43,51,46
-20188,3288,-4172,43,43,50,45
-19840,3680,-4508,43,43,51,45
-19436,3852,-4676,43,43,50,45
-19232,3984,-4880,43,41,50,44
-19144,4136,-4856,43,41,50,44
-18868,4448,-4876,43,42,50,43
-18768,4716,-4764,43,41,50,43
-18660,5040,-4520,43,40,50,43
-18632,5432,-4248,43,38,50,43
-19040,6096,-3792,43,38,50,42
-18296,6264,-3668,43,39,50,42
-17908,6256,-3488,43,38,50,42
-17868,6484,-3488,43,38,50,42
-17448,6464,-3824,43,39,50,42
-16944,6428,-4352,43,38,50,42
-15960,6408,-5344,43,39,50,42
-14940,6368,-6308,43,39,50,41
-14108,6008,-7096,43,39,49,41
-13036,5456,-7988,43,39,50,42
-12328,5172,-8300,43,40,49,42
-11704,4444,-8124,43,39,49,42
-11208,3540,-7764,43,39,49,42
-11172,3028,-7332,43,40,49,43
-11192,2380,-6552,43,39,49,42
-11320,2116,-6076,43,39,49,42
-11560,1976,-5748,43,40,49,43
-11764,1828,-5820,43,39,49,43
-11872,1832,-6336,43,40,49,43
-11824,1948,-7008,42,40,50,43
-11780,2200,-7436,42,41,49,43
-11580,2276,-8224,42,40,49,43
-11352,2488,-8408,43,39,49,44
-10960,2596,-8780,43,40,49,43
-10840,2572,-8644,43,40,49,43
-10512,2788,-8276,43,40,49,43
-10344,2908,-8016,43,40,49,43
-10428,3136,-7576,42,40,49,43
-10508,3504,-7208,42,39,49,43
-10756,4016,-6880,42,40,49,44
-10844,4180,-6636,42,40,48,43
-10956,4668,-6376,42,40,48,43
,,,,,,
,,,,,,
