x,y,z,s1,s2,s3,s4
-13284,11764,-2464,38,41,48,45
-13276,11152,-2460,38,41,48,45
-13484,10868,-2328,38,41,48,45
-13272,10436,-2400,38,41,47,45
-13200,9728,-2508,38,41,48,45
-13288,9196,-2448,38,41,48,45
-13544,8400,-2720,38,41,47,45
-13636,7876,-2760,38,41,47,45
-13532,7332,-2884,38,41,48,45
-13528,6724,-2976,38,41,48,45
-13536,6388,-2964,38,41,47,45
-13408,5932,-3004,38,41,47,45
-13572,5608,-2868,38,41,47,45
-13632,5516,-2844,38,41,47,45
-13440,5216,-2468,38,40,47,45
-13400,5084,-2104,38,41,47,45
-13172,4980,-2016,38,40,47,45
-13128,4768,-1520,38,41,47,45
-13340,4828,-1220,38,40,47,45
-13388,4896,-912,38,41,47,45
-13216,4812,-772,38,41,47,45
-13268,4864,-596,38,41,47,45
-13044,4992,-444,38,40,47,45
-13152,4840,-196,38,40,47,45
-13224,4856,48,37,40,47,45
-13108,4624,-28,38,40,47,45
-13240,4424,284,38,40,47,45
-13276,4128,264,38,40,47,45
-13532,3684,432,38,40,47,45
-13536,3480,508,38,40,47,45
-13712,3192,456,37,40,46,45
-13872,2796,332,37,40,46,45
-13880,2536,252,37,39,46,45
-13980,2124,44,37,40,46,45
-14124,1840,80,37,40,46,45
-14124,1556,-344,37,40,46,45
-14312,1196,-464,37,40,46,45
-14568,968,-588,37,40,46,45
-14720,800,-608,37,40,46,45
-14900,472,-844,37,40,46,45
-14884,232,-848,37,40,46,45
-15008,128,-636,37,39,46,44
-15044,-72,-792,36,39,45,44
-14952,-336,-888,36,39,45,44
-15052,-440,-808,36,39,45,44
-15072,-532,-852,36,39,45,44
-14980,-752,-1040,36,39,45,45
-14996,-960,-884,36,39,45,45
-14976,-1100,-1000,36,39,45,44
-15080,-1288,-1048,36,39,45,44
-15004,-1544,-1076,36,39,45,44
-14840,-1464,-952,36,39,45,44
-14772,-1600,-1184,35,39,45,44
-14784,-1616,-1216,36,39,45,44
-14796,-1508,-1236,36,39,45,44
-14872,-1416,-1324,36,39,44,44
-14884,-1072,-1212,35,39,45,44
-14884,-876,-1168,36,39,44,44
-14956,-740,-1148,36,39,44,44
-14944,-332,-1208,36,39,45,44
